0 0.9000  -455.3546 -1195533.4476 85.2930
1 0.9050  -455.3567 -1195538.8959 79.8447
2 0.9100  -455.3586 -1195544.1093 74.6313
3 0.9150  -455.3605 -1195549.0945 69.6461
4 0.9200  -455.3624 -1195553.8576 64.8830
5 0.9250  -455.3641 -1195558.4047 60.3359
6 0.9300  -455.3657 -1195562.7417 55.9989
7 0.9350  -455.3673 -1195566.8743 51.8663
8 0.9401  -455.3688 -1195570.8081 47.9325
9 0.9451  -455.3702 -1195574.5484 44.1922
10 0.9501  -455.3716 -1195578.1005 40.6401
11 0.9551  -455.3729 -1195581.4696 37.2710
12 0.9601  -455.3741 -1195584.6605 34.0801
13 0.9651  -455.3752 -1195587.6782 31.0624
14 0.9701  -455.3763 -1195590.5274 28.2132
15 0.9751  -455.3773 -1195593.2126 25.5280
16 0.9801  -455.3783 -1195595.7383 23.0023
17 0.9851  -455.3792 -1195598.1089 20.6317
18 0.9901  -455.3801 -1195600.3285 18.4121
19 0.9951  -455.3808 -1195602.4014 16.3392
20 1.0001  -455.3816 -1195604.3316 14.4090
21 1.0051  -455.3823 -1195606.1229 12.6177
22 1.0101  -455.3829 -1195607.7792 10.9614
23 1.0151  -455.3835 -1195609.3043 9.4363
24 1.0202  -455.3840 -1195610.7016 8.0390
25 1.0252  -455.3845 -1195611.9748 6.7658
26 1.0302  -455.3849 -1195613.1274 5.6132
27 1.0352  -455.3853 -1195614.1626 4.5780
28 1.0402  -455.3857 -1195615.0837 3.6569
29 1.0452  -455.3860 -1195615.8939 2.8467
30 1.0502  -455.3862 -1195616.5964 2.1442
31 1.0552  -455.3865 -1195617.1941 1.5465
32 1.0602  -455.3867 -1195617.6900 1.0506
33 1.0652  -455.3868 -1195618.0870 0.6536
34 1.0702  -455.3869 -1195618.3879 0.3527
35 1.0752  -455.3870 -1195618.5953 0.1453
36 1.0802  -455.3871 -1195618.7121 0.0285
37 1.0852  -455.3871 -1195618.7406 0.0000
38 1.0902  -455.3870 -1195618.6835 0.0571
39 1.0952  -455.3870 -1195618.5432 0.1974
40 1.1003  -455.3869 -1195618.3221 0.4185
41 1.1053  -455.3868 -1195618.0225 0.7181
42 1.1103  -455.3866 -1195617.6467 1.0939
43 1.1153  -455.3865 -1195617.1969 1.5437
44 1.1203  -455.3863 -1195616.6751 2.0655
45 1.1253  -455.3861 -1195616.0836 2.6570
46 1.1303  -455.3858 -1195615.4243 3.3163
47 1.1353  -455.3855 -1195614.6992 4.0414
48 1.1403  -455.3852 -1195613.9103 4.8303
49 1.1453  -455.3849 -1195613.0593 5.6813
50 1.1503  -455.3846 -1195612.1482 6.5924
51 1.1553  -455.3842 -1195611.1786 7.5620
52 1.1603  -455.3838 -1195610.1524 8.5882
53 1.1653  -455.3834 -1195609.0713 9.6693
54 1.1703  -455.3830 -1195607.9367 10.8039
55 1.1753  -455.3825 -1195606.7505 11.9901
56 1.1804  -455.3820 -1195605.5142 13.2264
57 1.1854  -455.3815 -1195604.2292 14.5114
58 1.1904  -455.3810 -1195602.8970 15.8436
59 1.1954  -455.3805 -1195601.5192 17.2214
60 1.2004  -455.3800 -1195600.0971 18.6435
61 1.2054  -455.3794 -1195598.6321 20.1085
62 1.2104  -455.3788 -1195597.1255 21.6151
63 1.2154  -455.3782 -1195595.5787 23.1619
64 1.2204  -455.3776 -1195593.9929 24.7477
65 1.2254  -455.3770 -1195592.3694 26.3712
66 1.2304  -455.3764 -1195590.7095 28.0312
67 1.2354  -455.3757 -1195589.0142 29.7264
68 1.2404  -455.3751 -1195587.2847 31.4559
69 1.2454  -455.3744 -1195585.5223 33.2184
70 1.2504  -455.3737 -1195583.7279 35.0127
71 1.2554  -455.3730 -1195581.9026 36.8380
72 1.2605  -455.3723 -1195580.0475 38.6931
73 1.2655  -455.3716 -1195578.1636 40.5770
74 1.2705  -455.3709 -1195576.2519 42.4887
75 1.2755  -455.3701 -1195574.3133 44.4273
76 1.2805  -455.3694 -1195572.3488 46.3918
77 1.2855  -455.3686 -1195570.3593 48.3813
78 1.2905  -455.3679 -1195568.3456 50.3950
79 1.2955  -455.3671 -1195566.3087 52.4319
80 1.3005  -455.3663 -1195564.2493 54.4913
81 1.3055  -455.3655 -1195562.1683 56.5723
82 1.3105  -455.3647 -1195560.0666 58.6740
83 1.3155  -455.3639 -1195557.9447 60.7959
84 1.3205  -455.3631 -1195555.8036 62.9370
85 1.3255  -455.3623 -1195553.6439 65.0967
86 1.3305  -455.3614 -1195551.4664 67.2742
87 1.3355  -455.3606 -1195549.2718 69.4688
88 1.3406  -455.3598 -1195547.0607 71.6799
89 1.3456  -455.3589 -1195544.8338 73.9068
90 1.3506  -455.3581 -1195542.5917 76.1489
91 1.3556  -455.3572 -1195540.3352 78.4054
92 1.3606  -455.3563 -1195538.0648 80.6758
93 1.3656  -455.3555 -1195535.7811 82.9596
94 1.3706  -455.3546 -1195533.4846 85.2560
95 1.3756  -455.3537 -1195531.1761 87.5645
96 1.3806  -455.3528 -1195528.8560 89.8846
97 1.3856  -455.3519 -1195526.5248 92.2158
98 1.3906  -455.3511 -1195524.1832 94.5574
99 1.3956  -455.3502 -1195521.8317 96.9089
100 1.4006  -455.3493 -1195519.4707 99.2699
101 1.4056  -455.3484 -1195517.1007 101.6399
102 1.4106  -455.3474 -1195514.7223 104.0183
103 1.4156  -455.3465 -1195512.3359 106.4047
104 1.4207  -455.3456 -1195509.9419 108.7987
105 1.4257  -455.3447 -1195507.5409 111.1997
106 1.4307  -455.3438 -1195505.1333 113.6073
107 1.4357  -455.3429 -1195502.7194 116.0212
108 1.4407  -455.3420 -1195500.2998 118.4408
109 1.4457  -455.3410 -1195497.8747 120.8659
110 1.4507  -455.3401 -1195495.4447 123.2959
111 1.4557  -455.3392 -1195493.0101 125.7305
112 1.4607  -455.3382 -1195490.5713 128.1693
113 1.4657  -455.3373 -1195488.1286 130.6120
114 1.4707  -455.3364 -1195485.6824 133.0582
115 1.4757  -455.3355 -1195483.2331 135.5075
116 1.4807  -455.3345 -1195480.7809 137.9597
117 1.4857  -455.3336 -1195478.3263 140.4143
118 1.4907  -455.3326 -1195475.8695 142.8712
119 1.4957  -455.3317 -1195473.4108 145.3298
120 1.5008  -455.3308 -1195470.9506 147.7901
121 1.5058  -455.3298 -1195468.4891 150.2515
122 1.5108  -455.3289 -1195466.0266 152.7140
123 1.5158  -455.3280 -1195463.5634 155.1772
124 1.5208  -455.3270 -1195461.0999 157.6407
125 1.5258  -455.3261 -1195458.6361 160.1045
126 1.5308  -455.3251 -1195456.1725 162.5682
127 1.5358  -455.3242 -1195453.7092 165.0314
128 1.5408  -455.3233 -1195451.2464 167.4942
129 1.5458  -455.3223 -1195448.7846 169.9560
130 1.5508  -455.3214 -1195446.3237 172.4169
131 1.5558  -455.3205 -1195443.8642 174.8764
132 1.5608  -455.3195 -1195441.4062 177.3344
133 1.5658  -455.3186 -1195438.9499 179.7907
134 1.5708  -455.3177 -1195436.4955 182.2451
135 1.5758  -455.3167 -1195434.0432 184.6974
136 1.5809  -455.3158 -1195431.5933 187.1473
137 1.5859  -455.3149 -1195429.1460 189.5946
138 1.5909  -455.3139 -1195426.7013 192.0393
139 1.5959  -455.3130 -1195424.2596 194.4811
140 1.6009  -455.3121 -1195421.8209 196.9197
141 1.6059  -455.3111 -1195419.3855 199.3551
142 1.6109  -455.3102 -1195416.9535 201.7871
143 1.6159  -455.3093 -1195414.5252 204.2154
144 1.6209  -455.3084 -1195412.1005 206.6401
145 1.6259  -455.3074 -1195409.6799 209.0607
146 1.6309  -455.3065 -1195407.2632 211.4774
147 1.6359  -455.3056 -1195404.8509 213.8897
148 1.6409  -455.3047 -1195402.4428 216.2978
149 1.6459  -455.3038 -1195400.0393 218.7013
