0 0.9000  -879.9941 -2310424.5346 85.0204
1 0.9050  -879.9962 -2310429.9451 79.6100
2 0.9100  -879.9981 -2310435.1219 74.4332
3 0.9150  -880.0000 -2310440.0715 69.4835
4 0.9200  -880.0018 -2310444.7994 64.7556
5 0.9250  -880.0035 -2310449.3128 60.2423
6 0.9300  -880.0052 -2310453.6179 55.9371
7 0.9350  -880.0067 -2310457.7189 51.8361
8 0.9401  -880.0082 -2310461.6217 47.9334
9 0.9451  -880.0096 -2310465.3332 44.2218
10 0.9501  -880.0110 -2310468.8567 40.6983
11 0.9551  -880.0123 -2310472.1992 37.3559
12 0.9601  -880.0135 -2310475.3642 34.1908
13 0.9651  -880.0146 -2310478.3577 31.1974
14 0.9701  -880.0157 -2310481.1830 28.3721
15 0.9751  -880.0167 -2310483.8458 25.7092
16 0.9801  -880.0177 -2310486.3524 23.2026
17 0.9851  -880.0186 -2310488.7037 20.8514
18 0.9901  -880.0194 -2310490.9059 18.6492
19 0.9951  -880.0202 -2310492.9618 16.5933
20 1.0001  -880.0209 -2310494.8776 14.6775
21 1.0051  -880.0216 -2310496.6556 12.8994
22 1.0101  -880.0222 -2310498.3008 11.2543
23 1.0151  -880.0228 -2310499.8152 9.7399
24 1.0202  -880.0233 -2310501.2032 8.3518
25 1.0252  -880.0238 -2310502.4699 7.0852
26 1.0302  -880.0242 -2310503.6156 5.9394
27 1.0352  -880.0246 -2310504.6471 4.9080
28 1.0402  -880.0250 -2310505.5645 3.9905
29 1.0452  -880.0253 -2310506.3753 3.1798
30 1.0502  -880.0255 -2310507.0777 2.4773
31 1.0552  -880.0258 -2310507.6805 1.8745
32 1.0602  -880.0260 -2310508.1807 1.3744
33 1.0652  -880.0261 -2310508.5879 0.9672
34 1.0702  -880.0262 -2310508.8977 0.6573
35 1.0752  -880.0263 -2310509.1212 0.4338
36 1.0802  -880.0264 -2310509.2523 0.3028
37 1.0852  -880.0264 -2310509.3033 0.2518
38 1.0902  -880.0264 -2310509.2664 0.2887
39 1.0952  -880.0264 -2310509.3439 0.2112
40 1.1003  -880.0265 -2310509.5551 0.0000
41 1.1053  -880.0264 -2310509.3353 0.2197
42 1.1103  -880.0263 -2310509.0453 0.5098
43 1.1153  -880.0262 -2310508.6813 0.8738
44 1.1203  -880.0260 -2310508.2511 1.3039
45 1.1253  -880.0258 -2310507.7523 1.8027
46 1.1303  -880.0256 -2310507.1923 2.3628
47 1.1353  -880.0254 -2310506.5676 2.9875
48 1.1403  -880.0251 -2310505.8864 3.6686
49 1.1453  -880.0248 -2310505.1445 4.4106
50 1.1503  -880.0245 -2310504.3492 5.2059
51 1.1553  -880.0242 -2310503.4995 6.0556
52 1.1603  -880.0238 -2310502.5977 6.9574
53 1.1653  -880.0235 -2310501.6463 7.9088
54 1.1703  -880.0231 -2310500.6465 8.9085
55 1.1753  -880.0227 -2310499.7271 9.8280
56 1.1804  -880.0223 -2310498.6638 10.8913
57 1.1854  -880.0219 -2310497.5574 11.9976
58 1.1904  -880.0215 -2310496.4097 13.1454
59 1.1954  -880.0210 -2310495.2209 14.3342
60 1.2004  -880.0206 -2310493.9955 15.5596
61 1.2054  -880.0201 -2310492.7330 16.8220
62 1.2104  -880.0196 -2310491.4354 18.1196
63 1.2154  -880.0191 -2310490.1048 19.4502
64 1.2204  -880.0186 -2310488.7411 20.8139
65 1.2254  -880.0180 -2310487.3524 22.2027
66 1.2304  -880.0175 -2310485.9326 23.6225
67 1.2354  -880.0169 -2310484.4851 25.0700
68 1.2404  -880.0164 -2310483.0155 26.5396
69 1.2454  -880.0158 -2310481.5190 28.0360
70 1.2504  -880.0152 -2310480.0001 29.5550
71 1.2554  -880.0146 -2310478.4625 31.0925
72 1.2605  -880.0141 -2310476.9041 32.6510
73 1.2655  -880.0135 -2310475.3273 34.2278
74 1.2705  -880.0128 -2310473.7337 35.8214
75 1.2755  -880.0122 -2310472.1247 37.4303
76 1.2805  -880.0116 -2310470.5017 39.0533
77 1.2855  -880.0110 -2310468.8660 40.6891
78 1.2905  -880.0104 -2310467.2191 42.3360
79 1.2955  -880.0097 -2310465.5622 43.9928
80 1.3005  -880.0091 -2310463.8970 45.6581
81 1.3055  -880.0085 -2310462.2248 47.3303
82 1.3105  -880.0078 -2310460.5471 49.0079
83 1.3155  -880.0072 -2310458.8656 50.6894
84 1.3205  -880.0065 -2310457.1820 52.3731
85 1.3255  -880.0059 -2310455.4982 54.0569
86 1.3305  -880.0053 -2310453.8168 55.7383
87 1.3355  -880.0046 -2310452.1438 57.4113
88 1.3406  -880.0040 -2310450.5302 59.0248
89 1.3456  -880.0034 -2310448.8665 60.6885
90 1.3506  -880.0027 -2310447.2088 62.3463
91 1.3556  -880.0021 -2310445.5557 63.9993
92 1.3606  -880.0015 -2310443.9154 65.6397
93 1.3656  -880.0009 -2310442.2774 67.2777
94 1.3706  -880.0002 -2310440.6495 68.9056
95 1.3756  -879.9996 -2310439.0333 70.5218
96 1.3806  -879.9990 -2310437.4296 72.1255
97 1.3856  -879.9984 -2310435.8391 73.7159
98 1.3906  -879.9978 -2310434.2630 75.2921
99 1.3956  -879.9972 -2310432.7019 76.8531
100 1.4006  -879.9966 -2310431.1567 78.3983
101 1.4056  -879.9960 -2310429.6279 79.9272
102 1.4106  -879.9955 -2310428.1159 81.4392
103 1.4156  -879.9949 -2310426.6210 82.9340
104 1.4207  -879.9943 -2310425.1437 84.4114
105 1.4257  -879.9938 -2310423.6842 85.8708
106 1.4307  -879.9932 -2310422.2429 87.3122
107 1.4357  -879.9927 -2310420.8200 88.7351
108 1.4407  -879.9922 -2310419.4155 90.1396
109 1.4457  -879.9916 -2310418.0281 91.5270
110 1.4507  -879.9911 -2310416.6642 92.8908
111 1.4557  -879.9906 -2310415.3139 94.2411
112 1.4607  -879.9901 -2310413.9846 95.5705
113 1.4657  -879.9896 -2310412.6753 96.8798
114 1.4707  -879.9891 -2310411.3843 98.1708
115 1.4757  -879.9886 -2310410.1118 99.4433
116 1.4807  -879.9881 -2310408.8578 100.6972
117 1.4857  -879.9877 -2310407.6228 101.9323
118 1.4907  -879.9872 -2310406.4037 103.1513
119 1.4957  -879.9867 -2310405.2054 104.3497
120 1.5008  -879.9863 -2310404.0250 105.5301
121 1.5058  -879.9859 -2310402.8617 106.6934
122 1.5108  -879.9854 -2310401.7154 107.8397
123 1.5158  -879.9850 -2310400.5857 108.9694
124 1.5208  -879.9846 -2310399.4700 110.0851
125 1.5258  -879.9841 -2310398.3740 111.1811
126 1.5308  -879.9837 -2310397.2929 112.2622
127 1.5358  -879.9833 -2310396.2245 113.3305
128 1.5408  -879.9829 -2310395.1741 114.3809
129 1.5458  -879.9825 -2310394.1356 115.4195
130 1.5508  -879.9821 -2310393.1138 116.4413
131 1.5558  -879.9818 -2310392.1028 117.4522
132 1.5608  -879.9814 -2310391.1077 118.4474
133 1.5658  -879.9810 -2310390.1227 119.4323
134 1.5708  -879.9806 -2310389.1526 120.4025
135 1.5758  -879.9803 -2310388.1920 121.3631
136 1.5809  -879.9799 -2310387.2438 122.3112
137 1.5859  -879.9795 -2310386.3069 123.2481
138 1.5909  -879.9792 -2310385.3810 124.1741
139 1.5959  -879.9788 -2310384.4653 125.0898
140 1.6009  -879.9785 -2310383.5597 125.9954
141 1.6059  -879.9782 -2310382.6638 126.8912
142 1.6109  -879.9778 -2310381.7774 127.7777
143 1.6159  -879.9775 -2310380.9000 128.6550
144 1.6209  -879.9772 -2310380.0314 129.5237
145 1.6259  -879.9768 -2310379.1713 130.3837
146 1.6309  -879.9765 -2310378.3195 131.2356
147 1.6359  -879.9762 -2310377.4757 132.0793
148 1.6409  -879.9759 -2310376.6399 132.9152
149 1.6459  -879.9756 -2310375.8117 133.7433
150 1.6509  -879.9752 -2310374.9914 134.5636
151 1.6559  -879.9749 -2310374.1793 135.3758
152 1.6610  -879.9747 -2310373.4993 136.0558
153 1.6660  -879.9744 -2310372.7026 136.8525
154 1.6710  -879.9741 -2310371.9110 137.6441
155 1.6760  -879.9738 -2310371.1251 138.4299
156 1.6810  -879.9735 -2310370.3450 139.2101
157 1.6860  -879.9732 -2310369.5699 139.9852
158 1.6910  -879.9729 -2310368.8001 140.7549
159 1.6960  -879.9726 -2310368.0352 141.5199
160 1.7010  -879.9723 -2310367.2759 142.2792
161 1.7060  -879.9720 -2310366.5204 143.0347
162 1.7110  -879.9717 -2310365.7697 143.7853
163 1.7160  -879.9714 -2310365.0238 144.5313
164 1.7210  -879.9712 -2310364.2820 145.2731
165 1.7260  -879.9709 -2310363.5450 146.0100
166 1.7310  -879.9706 -2310362.8115 146.7435
167 1.7360  -879.9703 -2310362.0822 147.4729
168 1.7411  -879.9700 -2310361.3569 148.1981
169 1.7461  -879.9698 -2310360.6355 148.9195
170 1.7511  -879.9695 -2310359.9178 149.6373
171 1.7561  -879.9692 -2310359.2038 150.3513
172 1.7611  -879.9690 -2310358.4932 151.0619
173 1.7661  -879.9687 -2310357.7862 151.7688
174 1.7711  -879.9684 -2310357.0827 152.4724
175 1.7761  -879.9682 -2310356.3824 153.1727
176 1.7811  -879.9679 -2310355.6854 153.8697
177 1.7861  -879.9676 -2310354.9916 154.5635
178 1.7911  -879.9674 -2310354.3009 155.2541
179 1.7961  -879.9671 -2310353.6134 155.9417
180 1.8011  -879.9668 -2310352.9288 156.6262
181 1.8061  -879.9666 -2310352.2473 157.3078
182 1.8111  -879.9663 -2310351.5687 157.9864
183 1.8161  -879.9661 -2310350.8929 158.6621
184 1.8212  -879.9658 -2310350.2201 159.3350
185 1.8262  -879.9655 -2310349.5501 160.0049
186 1.8312  -879.9653 -2310348.8828 160.6722
187 1.8362  -879.9650 -2310348.2183 161.3368
188 1.8412  -879.9648 -2310347.5564 161.9987
189 1.8462  -879.9645 -2310346.8972 162.6578
190 1.8512  -879.9643 -2310346.2408 163.3143
191 1.8562  -879.9640 -2310345.5871 163.9680
192 1.8612  -879.9638 -2310344.9362 164.6188
193 1.8662  -879.9635 -2310344.2891 165.2660
194 1.8712  -879.9633 -2310343.6460 165.9091
195 1.8762  -879.9631 -2310342.9977 166.5573
196 1.8812  -879.9628 -2310342.3628 167.1922
197 1.8862  -879.9626 -2310341.7254 167.8297
198 1.8912  -879.9623 -2310341.0904 168.4647
199 1.8962  -879.9621 -2310340.4576 169.0974
200 1.9013  -879.9618 -2310339.8274 169.7277
201 1.9063  -879.9616 -2310339.1993 170.3558
202 1.9113  -879.9614 -2310338.5736 170.9815
203 1.9163  -879.9611 -2310337.9503 171.6048
204 1.9213  -879.9609 -2310337.3290 172.2261
205 1.9263  -879.9607 -2310336.7101 172.8450
206 1.9313  -879.9604 -2310336.0934 173.4616
207 1.9363  -879.9602 -2310335.4788 174.0762
208 1.9413  -879.9600 -2310334.8667 174.6884
209 1.9463  -879.9597 -2310334.2565 175.2985
210 1.9513  -879.9595 -2310333.6487 175.9064
211 1.9563  -879.9593 -2310333.0429 176.5122
212 1.9613  -879.9590 -2310332.4393 177.1158
213 1.9663  -879.9588 -2310331.8379 177.7172
214 1.9713  -879.9586 -2310331.2384 178.3166
215 1.9763  -879.9583 -2310330.6412 178.9138
216 1.9814  -879.9581 -2310330.0461 179.5089
217 1.9864  -879.9579 -2310329.4530 180.1021
218 1.9914  -879.9577 -2310328.8619 180.6932
219 1.9964  -879.9574 -2310328.2728 181.2822
220 2.0014  -879.9572 -2310327.6859 181.8691
221 2.0064  -879.9570 -2310327.1010 182.4541
222 2.0114  -879.9568 -2310326.5181 183.0370
223 2.0164  -879.9566 -2310325.9372 183.6178
224 2.0214  -879.9563 -2310325.3583 184.1968
225 2.0264  -879.9561 -2310324.7814 184.7737
226 2.0314  -879.9559 -2310324.2064 185.3486
227 2.0364  -879.9557 -2310323.6335 185.9216
228 2.0414  -879.9555 -2310323.0624 186.4926
229 2.0464  -879.9552 -2310322.4934 187.0617
230 2.0514  -879.9550 -2310321.9263 187.6288
231 2.0564  -879.9548 -2310321.3611 188.1940
232 2.0615  -879.9546 -2310320.7978 188.7573
233 2.0665  -879.9544 -2310320.2365 189.3186
234 2.0715  -879.9542 -2310319.6770 189.8781
235 2.0765  -879.9540 -2310319.1195 190.4356
236 2.0815  -879.9537 -2310318.5638 190.9913
237 2.0865  -879.9535 -2310318.0101 191.5450
238 2.0915  -879.9533 -2310317.4583 192.0968
239 2.0965  -879.9531 -2310316.9083 192.6467
240 2.1015  -879.9529 -2310316.3602 193.1948
241 2.1065  -879.9527 -2310315.8141 193.7410
242 2.1115  -879.9525 -2310315.2698 194.2853
243 2.1165  -879.9523 -2310314.7274 194.8277
244 2.1215  -879.9521 -2310314.1869 195.3682
245 2.1265  -879.9519 -2310313.6482 195.9068
246 2.1315  -879.9517 -2310313.1114 196.4436
247 2.1365  -879.9515 -2310312.5766 196.9785
248 2.1416  -879.9513 -2310312.0436 197.5115
249 2.1466  -879.9511 -2310311.5124 198.0426
250 2.1516  -879.9509 -2310310.9796 198.5755
251 2.1566  -879.9507 -2310310.4557 199.0994
252 2.1616  -879.9505 -2310309.9303 199.6247
253 2.1666  -879.9503 -2310309.4051 200.1500
254 2.1716  -879.9501 -2310308.8837 200.6713
255 2.1766  -879.9499 -2310308.3651 201.1900
256 2.1816  -879.9497 -2310307.8475 201.7076
257 2.1866  -879.9495 -2310307.3315 202.2236
258 2.1916  -879.9493 -2310306.8174 202.7377
259 2.1966  -879.9491 -2310306.3050 203.2501
260 2.2016  -879.9489 -2310305.7936 203.7615
261 2.2066  -879.9487 -2310305.2839 204.2712
262 2.2116  -879.9485 -2310304.7759 204.7792
263 2.2166  -879.9483 -2310304.2698 205.2853
264 2.2217  -879.9481 -2310303.7654 205.7896
265 2.2267  -879.9479 -2310303.2630 206.2921
266 2.2317  -879.9477 -2310302.7624 206.7926
267 2.2367  -879.9475 -2310302.2639 207.2912
268 2.2417  -879.9473 -2310301.7672 207.7878
269 2.2467  -879.9472 -2310301.2839 208.2711
270 2.2517  -879.9470 -2310300.7917 208.7634
271 2.2567  -879.9468 -2310300.3006 209.2545
272 2.2617  -879.9466 -2310299.8110 209.7440
273 2.2667  -879.9464 -2310299.3232 210.2318
274 2.2717  -879.9462 -2310298.8373 210.7177
275 2.2767  -879.9460 -2310298.3533 211.2017
276 2.2817  -879.9459 -2310297.8713 211.6838
277 2.2867  -879.9457 -2310297.3912 212.1639
278 2.2917  -879.9455 -2310296.9130 212.6421
279 2.2967  -879.9453 -2310296.4369 213.1182
280 2.3018  -879.9451 -2310295.9626 213.5925
