0 0.9000  -981.7393 -2577556.4875 83.4383
1 0.9050  -981.7413 -2577561.8807 78.0451
2 0.9100  -981.7433 -2577567.0392 72.8866
3 0.9150  -981.7452 -2577571.9705 67.9553
4 0.9200  -981.7470 -2577576.6789 63.2469
5 0.9250  -981.7487 -2577581.1714 58.7544
6 0.9300  -981.7503 -2577585.4540 54.4718
7 0.9350  -981.7519 -2577589.5337 50.3921
8 0.9401  -981.7533 -2577593.4133 46.5124
9 0.9451  -981.7548 -2577597.0996 42.8262
10 0.9501  -981.7561 -2577600.5978 39.3280
11 0.9551  -981.7573 -2577603.9149 36.0109
12 0.9601  -981.7585 -2577607.0549 32.8709
13 0.9651  -981.7597 -2577610.0206 29.9052
14 0.9701  -981.7607 -2577612.8179 27.1079
15 0.9751  -981.7617 -2577615.4510 24.4747
16 0.9801  -981.7627 -2577617.9250 22.0008
17 0.9851  -981.7636 -2577620.2441 19.6817
18 0.9901  -981.7644 -2577622.4126 17.5132
19 0.9951  -981.7652 -2577624.4346 15.4912
20 1.0001  -981.7659 -2577626.3141 13.6117
21 1.0051  -981.7665 -2577628.0550 11.8708
22 1.0101  -981.7672 -2577629.6613 10.2645
23 1.0151  -981.7677 -2577631.1365 8.7893
24 1.0202  -981.7682 -2577632.4843 7.4415
25 1.0252  -981.7687 -2577633.7083 6.2175
26 1.0302  -981.7691 -2577634.8119 5.1139
27 1.0352  -981.7695 -2577635.7985 4.1273
28 1.0402  -981.7698 -2577636.6713 3.2545
29 1.0452  -981.7701 -2577637.4336 2.4922
30 1.0502  -981.7704 -2577638.0884 1.8374
31 1.0552  -981.7706 -2577638.6388 1.2870
32 1.0602  -981.7707 -2577639.0878 0.8380
33 1.0652  -981.7709 -2577639.4382 0.4876
34 1.0702  -981.7710 -2577639.6928 0.2329
35 1.0752  -981.7710 -2577639.8545 0.0713
36 1.0802  -981.7711 -2577639.9258 0.0000
37 1.0852  -981.7711 -2577639.9093 0.0165
38 1.0902  -981.7710 -2577639.8076 0.1182
39 1.0952  -981.7709 -2577639.6231 0.3027
40 1.1003  -981.7708 -2577639.3582 0.5676
41 1.1053  -981.7707 -2577639.0153 0.9104
42 1.1103  -981.7706 -2577638.5966 1.3291
43 1.1153  -981.7704 -2577638.1044 1.8213
44 1.1203  -981.7702 -2577637.5408 2.3850
45 1.1253  -981.7699 -2577636.9079 3.0179
46 1.1303  -981.7696 -2577636.2077 3.7180
47 1.1353  -981.7694 -2577635.4423 4.4835
48 1.1403  -981.7690 -2577634.6139 5.3119
49 1.1453  -981.7687 -2577633.7240 6.2018
50 1.1503  -981.7683 -2577632.7745 7.1513
51 1.1553  -981.7680 -2577631.7672 8.1586
52 1.1603  -981.7676 -2577630.7166 9.2092
53 1.1653  -981.7671 -2577629.5994 10.3264
54 1.1703  -981.7667 -2577628.4291 11.4966
55 1.1753  -981.7662 -2577627.2078 12.7180
56 1.1804  -981.7657 -2577625.9371 13.9887
57 1.1854  -981.7652 -2577624.6185 15.3072
58 1.1904  -981.7647 -2577623.2604 16.6654
59 1.1954  -981.7642 -2577621.8518 18.0740
60 1.2004  -981.7636 -2577620.3990 19.5268
61 1.2054  -981.7631 -2577618.9042 21.0216
62 1.2104  -981.7625 -2577617.3817 22.5440
63 1.2154  -981.7619 -2577615.8097 24.1161
64 1.2204  -981.7613 -2577614.1994 25.7264
65 1.2254  -981.7606 -2577612.5524 27.3734
66 1.2304  -981.7600 -2577610.8984 29.0274
67 1.2354  -981.7594 -2577609.1847 30.7410
68 1.2404  -981.7587 -2577607.4393 32.4865
69 1.2454  -981.7580 -2577605.6610 34.2648
70 1.2504  -981.7573 -2577603.8537 36.0720
71 1.2554  -981.7566 -2577602.0163 37.9095
72 1.2605  -981.7559 -2577600.1576 39.7681
73 1.2655  -981.7552 -2577598.2684 41.6574
74 1.2705  -981.7545 -2577596.3542 43.5716
75 1.2755  -981.7537 -2577594.4144 45.5114
76 1.2805  -981.7530 -2577592.4674 47.4584
77 1.2855  -981.7522 -2577590.4899 49.4358
78 1.2905  -981.7515 -2577588.4897 51.4361
79 1.2955  -981.7507 -2577586.4919 53.4339
80 1.3005  -981.7499 -2577584.4676 55.4582
81 1.3055  -981.7569 -2577602.7533 37.1725
