0 0.9000  -915.7807 -2404382.1956 83.9720
1 0.9050  -915.7827 -2404387.5914 78.5762
2 0.9100  -915.7847 -2404392.7534 73.4142
3 0.9150  -915.7866 -2404397.6878 68.4798
4 0.9200  -915.7884 -2404402.4012 63.7665
5 0.9250  -915.7901 -2404406.8993 59.2684
6 0.9300  -915.7917 -2404411.1882 54.9794
7 0.9350  -915.7933 -2404415.2735 50.8941
8 0.9401  -915.7948 -2404419.1609 47.0067
9 0.9451  -915.7962 -2404422.8557 43.3120
10 0.9501  -915.7975 -2404426.3631 39.8045
11 0.9551  -915.7988 -2404429.6884 36.4792
12 0.9601  -915.8000 -2404432.8364 33.3312
13 0.9651  -915.8011 -2404435.8121 30.3555
14 0.9701  -915.8022 -2404438.6202 27.5474
15 0.9751  -915.8032 -2404441.2652 24.9024
16 0.9801  -915.8041 -2404443.7517 22.4160
17 0.9851  -915.8050 -2404446.0839 20.0837
18 0.9901  -915.8059 -2404448.2662 17.9014
19 0.9951  -915.8066 -2404450.3027 15.8650
20 1.0001  -915.8073 -2404452.1974 13.9703
21 1.0051  -915.8080 -2404453.9542 12.2134
22 1.0101  -915.8086 -2404455.5770 10.5906
23 1.0151  -915.8092 -2404457.0696 9.0980
24 1.0202  -915.8097 -2404458.4355 7.7322
25 1.0252  -915.8102 -2404459.6783 6.4894
26 1.0302  -915.8106 -2404460.8014 5.3662
27 1.0352  -915.8110 -2404461.8083 4.3593
28 1.0402  -915.8114 -2404462.7023 3.4653
29 1.0452  -915.8116 -2404463.4864 2.6812
30 1.0502  -915.8119 -2404464.1640 2.0036
31 1.0552  -915.8121 -2404464.7380 1.4297
32 1.0602  -915.8123 -2404465.2113 0.9563
33 1.0652  -915.8124 -2404465.5869 0.5807
34 1.0702  -915.8126 -2404465.8676 0.3000
35 1.0752  -915.8126 -2404466.0562 0.1114
36 1.0802  -915.8127 -2404466.1554 0.0123
37 1.0852  -915.8127 -2404466.1676 0.0000
38 1.0902  -915.8126 -2404466.0956 0.0720
39 1.0952  -915.8126 -2404465.9418 0.2259
40 1.1003  -915.8125 -2404465.7085 0.4591
41 1.1053  -915.8124 -2404465.3982 0.7695
42 1.1103  -915.8122 -2404465.0131 1.1545
43 1.1153  -915.8121 -2404464.5555 1.6121
44 1.1203  -915.8119 -2404464.0275 2.1401
45 1.1253  -915.8116 -2404463.4314 2.7363
46 1.1303  -915.8114 -2404462.7690 3.3986
47 1.1353  -915.8111 -2404462.0426 4.1251
48 1.1403  -915.8108 -2404461.2539 4.9137
49 1.1453  -915.8105 -2404460.4051 5.7626
50 1.1503  -915.8101 -2404459.4989 6.6687
51 1.1553  -915.8098 -2404458.5355 7.6321
52 1.1603  -915.8094 -2404457.5170 8.6507
53 1.1653  -915.8090 -2404456.4454 9.7223
54 1.1703  -915.8085 -2404455.3224 10.8453
55 1.1753  -915.8081 -2404454.1498 12.0178
56 1.1804  -915.8076 -2404452.9293 13.2383
57 1.1854  -915.8071 -2404451.6634 14.5043
58 1.1904  -915.8066 -2404450.3521 15.8155
59 1.1954  -915.8061 -2404448.9972 17.1704
60 1.2004  -915.8056 -2404447.6003 18.5674
61 1.2054  -915.8051 -2404446.1631 20.0045
62 1.2104  -915.8045 -2404444.6882 21.4794
63 1.2154  -915.8039 -2404443.1753 22.9923
64 1.2204  -915.8033 -2404441.6259 24.5418
65 1.2254  -915.8027 -2404440.0415 26.1261
66 1.2304  -915.8021 -2404438.4249 27.7428
67 1.2354  -915.8015 -2404436.7759 29.3918
68 1.2404  -915.8008 -2404435.0955 31.0722
69 1.2454  -915.8002 -2404433.3854 32.7822
70 1.2504  -915.7995 -2404431.6485 34.5191
71 1.2554  -915.7989 -2404429.8842 36.2834
72 1.2605  -915.7982 -2404428.0933 38.0744
73 1.2655  -915.7975 -2404426.2788 39.8889
74 1.2705  -915.7968 -2404424.4407 41.7269
75 1.2755  -915.7961 -2404422.5798 43.5878
76 1.2805  -915.7954 -2404420.6990 45.4686
77 1.2855  -915.7946 -2404418.7982 47.3694
78 1.2905  -915.7939 -2404416.8775 49.2902
79 1.2955  -915.7932 -2404414.9413 51.2263
80 1.3005  -915.7924 -2404412.9878 53.1798
81 1.3055  -915.7917 -2404411.0179 55.1497
82 1.3105  -915.7909 -2404409.0365 57.1311
83 1.3155  -915.7902 -2404407.0411 59.1266
84 1.3205  -915.7894 -2404405.0339 61.1337
85 1.3255  -915.7886 -2404403.0160 63.1516
86 1.3305  -915.7878 -2404400.9890 65.1786
87 1.3355  -915.7871 -2404398.9535 67.2142
88 1.3406  -915.7863 -2404396.9115 69.2561
89 1.3456  -915.7855 -2404394.8634 71.3042
90 1.3506  -915.7847 -2404392.8104 73.3573
91 1.3556  -915.7839 -2404390.7550 75.4126
92 1.3606  -915.7832 -2404388.6959 77.4717
93 1.3656  -915.7824 -2404386.6382 79.5295
94 1.3706  -915.7816 -2404384.5787 81.5889
95 1.3756  -915.7808 -2404382.5241 83.6435
96 1.3806  -915.7800 -2404380.4699 85.6977
97 1.3856  -915.7793 -2404378.4246 87.7430
