0 0.9000  -1155.1794 -3032923.6438 86.2893
1 0.9050  -1155.1815 -3032929.0802 80.8529
2 0.9100  -1155.1835 -3032934.2829 75.6502
3 0.9150  -1155.1854 -3032939.2589 70.6742
4 0.9200  -1155.1872 -3032944.0145 65.9186
5 0.9250  -1155.1889 -3032948.5564 61.3767
6 0.9300  -1155.1906 -3032952.8902 57.0429
7 0.9350  -1155.1922 -3032957.0215 52.9116
8 0.9401  -1155.1937 -3032960.9555 48.9776
9 0.9451  -1155.1951 -3032964.7027 45.2305
10 0.9501  -1155.1964 -3032968.2573 41.6758
11 0.9551  -1155.1977 -3032971.6307 38.3024
12 0.9601  -1155.1989 -3032974.8287 35.1044
13 0.9651  -1155.2001 -3032977.8534 32.0797
14 0.9701  -1155.2012 -3032980.7141 29.2190
15 0.9751  -1155.2022 -3032983.4101 26.5230
16 0.9801  -1155.2032 -3032985.9597 23.9734
17 0.9851  -1155.2041 -3032988.3459 21.5873
18 0.9901  -1155.2049 -3032990.5836 19.3495
19 0.9951  -1155.2057 -3032992.6788 17.2543
20 1.0001  -1155.2065 -3032994.6325 15.3006
21 1.0051  -1155.2072 -3032996.4519 13.4812
22 1.0101  -1155.2078 -3032998.1367 11.7964
23 1.0151  -1155.2084 -3032999.6928 10.2403
24 1.0202  -1155.2090 -3033001.1239 8.8092
25 1.0252  -1155.2095 -3033002.4335 7.4996
26 1.0302  -1155.2099 -3033003.6257 6.3074
27 1.0352  -1155.2103 -3033004.7030 5.2301
28 1.0402  -1155.2107 -3033005.6699 4.2632
29 1.0452  -1155.2110 -3033006.5337 3.3994
30 1.0502  -1155.2113 -3033007.2888 2.6443
31 1.0552  -1155.2116 -3033007.9412 1.9919
32 1.0602  -1155.2118 -3033008.4958 1.4373
33 1.0652  -1155.2119 -3033008.9581 0.9750
34 1.0702  -1155.2121 -3033009.3257 0.6074
35 1.0752  -1155.2122 -3033009.6022 0.3309
36 1.0802  -1155.2123 -3033009.7915 0.1416
37 1.0852  -1155.2123 -3033009.9047 0.0284
38 1.0902  -1155.2123 -3033009.9331 0.0000
39 1.0952  -1155.2123 -3033009.8814 0.0517
40 1.1003  -1155.2122 -3033009.7547 0.1784
41 1.1053  -1155.2122 -3033009.5530 0.3801
42 1.1103  -1155.2121 -3033009.2827 0.6504
43 1.1153  -1155.2119 -3033008.9361 0.9970
44 1.1203  -1155.2118 -3033008.4807 1.4524
45 1.1253  -1155.2116 -3033008.0049 1.9282
46 1.1303  -1155.2114 -3033007.4660 2.4672
47 1.1353  -1155.2111 -3033006.8651 3.0680
48 1.1403  -1155.2109 -3033006.2080 3.7251
49 1.1453  -1155.2106 -3033005.4924 4.4407
50 1.1503  -1155.2103 -3033004.7261 5.2070
51 1.1553  -1155.2100 -3033003.9058 6.0273
52 1.1603  -1155.2097 -3033003.0375 6.8956
53 1.1653  -1155.2093 -3033002.1204 7.8128
54 1.1703  -1155.2090 -3033001.1574 8.7758
55 1.1753  -1155.2086 -3033000.1513 9.7818
56 1.1804  -1155.2082 -3032999.1028 10.8303
57 1.1854  -1155.2078 -3032998.0137 11.9194
58 1.1904  -1155.2073 -3032996.8867 13.0464
59 1.1954  -1155.2069 -3032995.7230 14.2101
60 1.2004  -1155.2064 -3032994.5251 15.4080
61 1.2054  -1155.2060 -3032993.2928 16.6403
62 1.2104  -1155.2055 -3032992.0281 17.9050
63 1.2154  -1155.2050 -3032990.7396 19.1936
64 1.2204  -1155.2045 -3032989.4183 20.5148
65 1.2254  -1155.2040 -3032988.0732 21.8599
66 1.2304  -1155.2035 -3032986.7052 23.2279
67 1.2354  -1155.2029 -3032985.3164 24.6167
68 1.2404  -1155.2024 -3032983.9158 26.0173
69 1.2454  -1155.2019 -3032982.4902 27.4429
70 1.2504  -1155.2013 -3032981.0502 28.8829
71 1.2554  -1155.2008 -3032979.5950 30.3381
72 1.2605  -1155.2002 -3032978.1292 31.8039
73 1.2655  -1155.1996 -3032976.6679 33.2652
74 1.2705  -1155.1991 -3032975.1871 34.7460
75 1.2755  -1155.1985 -3032973.7115 36.2217
76 1.2805  -1155.1980 -3032972.2240 37.7091
77 1.2855  -1155.1974 -3032970.7465 39.1866
78 1.2905  -1155.1968 -3032969.2615 40.6716
79 1.2955  -1155.1963 -3032967.7916 42.1416
80 1.3005  -1155.1957 -3032966.3187 43.6144
81 1.3055  -1155.1952 -3032964.8676 45.0655
82 1.3105  -1155.1946 -3032963.4170 46.5161
83 1.3155  -1155.1941 -3032961.9948 47.9383
84 1.3205  -1155.1935 -3032960.5769 49.3562
85 1.3255  -1155.1930 -3032959.1973 50.7358
86 1.3305  -1155.1925 -3032957.8219 52.1112
87 1.3355  -1155.1920 -3032956.4943 53.4388
88 1.3406  -1155.1915 -3032955.2537 54.6794
89 1.3456  -1155.1910 -3032954.0235 55.9097
90 1.3506  -1155.1906 -3032952.7950 57.1381
91 1.3556  -1155.1901 -3032951.5963 58.3369
92 1.3606  -1155.1897 -3032950.4273 59.5058
93 1.3656  -1155.1907 -3032953.0724 56.8607
94 1.3706  -1155.1903 -3032952.1077 57.8254
95 1.3756  -1155.1899 -3032951.1575 58.7757
96 1.3806  -1155.1896 -3032950.2250 59.7081
97 1.3856  -1155.1892 -3032949.3107 60.6225
98 1.3906  -1155.1889 -3032948.4146 61.5185
99 1.3956  -1155.1885 -3032947.5366 62.3965
100 1.4006  -1155.1882 -3032946.6767 63.2565
101 1.4056  -1155.1879 -3032945.8347 64.0985
102 1.4106  -1155.1876 -3032945.0106 64.9225
103 1.4156  -1155.1873 -3032944.2043 65.7288
104 1.4207  -1155.1870 -3032943.4155 66.5176
105 1.4257  -1155.1867 -3032942.6439 67.2893
106 1.4307  -1155.1864 -3032941.8899 68.0432
107 1.4357  -1155.1861 -3032941.1522 68.7809
108 1.4407  -1155.1858 -3032940.4313 69.5018
109 1.4457  -1155.1856 -3032939.7265 70.2066
110 1.4507  -1155.1853 -3032939.0376 70.8955
111 1.4557  -1155.1851 -3032938.3642 71.5689
112 1.4607  -1155.1848 -3032937.7057 72.2274
113 1.4657  -1155.1846 -3032937.0619 72.8713
114 1.4707  -1155.1843 -3032936.4321 73.5010
115 1.4757  -1155.1841 -3032935.8162 74.1169
116 1.4807  -1155.1839 -3032935.2134 74.7197
117 1.4857  -1155.1836 -3032934.6235 75.3096
118 1.4907  -1155.1834 -3032934.0460 75.8871
119 1.4957  -1155.1832 -3032933.4804 76.4527
120 1.5008  -1155.1830 -3032932.9232 77.0099
121 1.5058  -1155.1828 -3032932.3826 77.5505
122 1.5108  -1155.1826 -3032931.8472 78.0859
123 1.5158  -1155.1824 -3032931.3276 78.6056
124 1.5208  -1155.1822 -3032930.8123 79.1208
125 1.5258  -1155.1820 -3032930.3117 79.6214
126 1.5308  -1155.1818 -3032929.8148 80.1183
127 1.5358  -1155.1816 -3032929.3316 80.6015
128 1.5408  -1155.1814 -3032928.8517 81.0814
129 1.5458  -1155.1813 -3032928.3844 81.5487
130 1.5508  -1155.1811 -3032927.9198 82.0133
131 1.5558  -1155.1809 -3032927.4669 82.4662
132 1.5608  -1155.1807 -3032927.0164 82.9168
133 1.5658  -1155.1806 -3032926.5766 83.3565
134 1.5708  -1155.1804 -3032926.1387 83.7945
135 1.5758  -1155.1802 -3032925.7077 84.2254
136 1.5809  -1155.1801 -3032925.2863 84.6468
137 1.5859  -1155.1799 -3032924.8652 85.0679
138 1.5909  -1155.1798 -3032924.4502 85.4829
139 1.5959  -1155.1796 -3032924.0403 85.8928
140 1.6009  -1155.1794 -3032923.6351 86.2980
141 1.6059  -1155.1793 -3032923.2344 86.6987
142 1.6109  -1155.1791 -3032922.8380 87.0951
143 1.6159  -1155.1790 -3032922.4457 87.4874
144 1.6209  -1155.1788 -3032922.0574 87.8757
145 1.6259  -1155.1787 -3032921.6731 88.2600
146 1.6309  -1155.1786 -3032921.2927 88.6404
147 1.6359  -1155.1784 -3032920.9163 89.0168
148 1.6409  -1155.1783 -3032920.6173 89.3159
149 1.6459  -1155.1782 -3032920.2454 89.6877
150 1.6509  -1155.1780 -3032919.8759 90.0572
151 1.6559  -1155.1779 -3032919.5087 90.4244
152 1.6610  -1155.1777 -3032919.1438 90.7893
153 1.6660  -1155.1776 -3032918.7808 91.1523
154 1.6710  -1155.1775 -3032918.4196 91.5135
155 1.6760  -1155.1773 -3032918.0600 91.8731
156 1.6810  -1155.1772 -3032917.7018 92.2313
157 1.6860  -1155.1771 -3032917.3448 92.5883
158 1.6910  -1155.1769 -3032916.9889 92.9442
159 1.6960  -1155.1768 -3032916.6339 93.2992
160 1.7010  -1155.1766 -3032916.2798 93.6533
161 1.7060  -1155.1765 -3032915.9265 94.0067
162 1.7110  -1155.1764 -3032915.5737 94.3594
163 1.7160  -1155.1762 -3032915.2215 94.7116
164 1.7210  -1155.1761 -3032914.8697 95.0634
165 1.7260  -1155.1760 -3032914.5183 95.4148
166 1.7310  -1155.1758 -3032914.1672 95.7659
167 1.7360  -1155.1757 -3032913.8163 96.1168
168 1.7411  -1155.1756 -3032913.4656 96.4675
169 1.7461  -1155.1754 -3032913.1150 96.8181
170 1.7511  -1155.1753 -3032912.7644 97.1687
171 1.7561  -1155.1752 -3032912.4138 97.5193
172 1.7611  -1155.1750 -3032912.0632 97.8699
173 1.7661  -1155.1749 -3032911.7124 98.2207
174 1.7711  -1155.1748 -3032911.3615 98.5716
175 1.7761  -1155.1746 -3032911.0104 98.9227
176 1.7811  -1155.1745 -3032910.6591 99.2740
177 1.7861  -1155.1744 -3032910.3075 99.6256
178 1.7911  -1155.1742 -3032909.9557 99.9774
179 1.7961  -1155.1741 -3032909.6035 100.3296
180 1.8011  -1155.1740 -3032909.2510 100.6821
181 1.8061  -1155.1738 -3032908.8982 101.0349
182 1.8111  -1155.1737 -3032908.5449 101.3882
183 1.8161  -1155.1736 -3032908.1913 101.7418
184 1.8212  -1155.1734 -3032907.8373 102.0958
185 1.8262  -1155.1733 -3032907.4828 102.4503
186 1.8312  -1155.1732 -3032907.1279 102.8052
187 1.8362  -1155.1730 -3032906.7725 103.1606
188 1.8412  -1155.1729 -3032906.4167 103.5164
189 1.8462  -1155.1728 -3032906.0605 103.8726
190 1.8512  -1155.1726 -3032905.7038 104.2293
191 1.8562  -1155.1725 -3032905.3466 104.5865
192 1.8612  -1155.1723 -3032904.9890 104.9441
193 1.8662  -1155.1722 -3032904.6309 105.3022
194 1.8712  -1155.1721 -3032904.2724 105.6607
195 1.8762  -1155.1719 -3032903.9135 106.0197
196 1.8812  -1155.1718 -3032903.5541 106.3790
197 1.8862  -1155.1717 -3032903.1943 106.7388
198 1.8912  -1155.1715 -3032902.8342 107.0989
199 1.8962  -1155.1714 -3032902.4737 107.4594
200 1.9013  -1155.1712 -3032902.1128 107.8203
201 1.9063  -1155.1711 -3032901.7516 108.1815
202 1.9113  -1155.1710 -3032901.3899 108.5432
203 1.9163  -1155.1708 -3032901.0278 108.9053
204 1.9213  -1155.1707 -3032900.6653 109.2678
205 1.9263  -1155.1706 -3032900.3023 109.6309
206 1.9313  -1155.1704 -3032899.9388 109.9943
207 1.9363  -1155.1703 -3032899.5750 110.3581
208 1.9413  -1155.1701 -3032899.2107 110.7224
209 1.9463  -1155.1700 -3032898.8460 111.0871
210 1.9513  -1155.1699 -3032898.4809 111.4522
211 1.9563  -1155.1697 -3032898.1154 111.8177
212 1.9613  -1155.1696 -3032897.7497 112.1834
213 1.9663  -1155.1694 -3032897.3835 112.5496
214 1.9713  -1155.1693 -3032897.0171 112.9160
215 1.9763  -1155.1692 -3032896.6503 113.2828
216 1.9814  -1155.1690 -3032896.2833 113.6498
217 1.9864  -1155.1689 -3032895.9159 114.0172
218 1.9914  -1155.1687 -3032895.5483 114.3848
219 1.9964  -1155.1686 -3032895.1804 114.7527
220 2.0014  -1155.1685 -3032894.8123 115.1208
221 2.0064  -1155.1683 -3032894.4439 115.4892
222 2.0114  -1155.1682 -3032894.0753 115.8578
223 2.0164  -1155.1680 -3032893.7067 116.2264
224 2.0214  -1155.1679 -3032893.3376 116.5955
225 2.0264  -1155.1678 -3032892.9686 116.9645
226 2.0314  -1155.1676 -3032892.5992 117.3339
227 2.0364  -1155.1675 -3032892.2300 117.7031
228 2.0414  -1155.1673 -3032891.8603 118.0728
229 2.0464  -1155.1672 -3032891.4909 118.4422
230 2.0514  -1155.1671 -3032891.1210 118.8121
231 2.0564  -1155.1669 -3032890.7514 119.1817
232 2.0615  -1155.1668 -3032890.3814 119.5517
233 2.0665  -1155.1666 -3032890.0118 119.9213
234 2.0715  -1155.1665 -3032889.6418 120.2913
235 2.0765  -1155.1664 -3032889.2721 120.6610
236 2.0815  -1155.1662 -3032888.9022 121.0310
237 2.0865  -1155.1661 -3032888.5326 121.4005
238 2.0915  -1155.1659 -3032888.1627 121.7704
239 2.0965  -1155.1658 -3032887.7932 122.1399
240 2.1015  -1155.1657 -3032887.4235 122.5096
241 2.1065  -1155.1655 -3032887.0543 122.8788
242 2.1115  -1155.1654 -3032886.6850 123.2481
243 2.1165  -1155.1652 -3032886.3158 123.6173
244 2.1215  -1155.1651 -3032885.9468 123.9863
245 2.1265  -1155.1650 -3032885.5779 124.3552
246 2.1315  -1155.1648 -3032885.2093 124.7238
247 2.1365  -1155.1647 -3032884.8408 125.0923
248 2.1416  -1155.1645 -3032884.4727 125.4604
249 2.1466  -1155.1644 -3032884.1047 125.8284
250 2.1516  -1155.1642 -3032883.7370 126.1961
251 2.1566  -1155.1641 -3032883.3696 126.5635
252 2.1616  -1155.1640 -3032883.0024 126.9307
253 2.1666  -1155.1638 -3032882.6363 127.2968
254 2.1716  -1155.1637 -3032882.2705 127.6627
255 2.1766  -1155.1636 -3032881.9049 128.0282
256 2.1816  -1155.1634 -3032881.5398 128.3933
257 2.1866  -1155.1633 -3032881.1750 128.7581
258 2.1916  -1155.1631 -3032880.8106 129.1225
259 2.1966  -1155.1630 -3032880.4465 129.4866
260 2.2016  -1155.1629 -3032880.0829 129.8502
261 2.2066  -1155.1627 -3032879.7196 130.2135
262 2.2116  -1155.1626 -3032879.3568 130.5764
263 2.2166  -1155.1624 -3032878.9944 130.9388
264 2.2217  -1155.1623 -3032878.6324 131.3007
265 2.2267  -1155.1622 -3032878.2709 131.6622
266 2.2317  -1155.1620 -3032877.9099 132.0232
267 2.2367  -1155.1619 -3032877.5493 132.3838
268 2.2417  -1155.1618 -3032877.1892 132.7439
269 2.2467  -1155.1616 -3032876.8297 133.1034
270 2.2517  -1155.1615 -3032876.4706 133.4625
271 2.2567  -1155.1613 -3032876.1122 133.8209
272 2.2617  -1155.1612 -3032875.7542 134.1789
273 2.2667  -1155.1611 -3032875.3968 134.5363
274 2.2717  -1155.1609 -3032875.0400 134.8931
275 2.2767  -1155.1608 -3032874.6838 135.2494
276 2.2817  -1155.1607 -3032874.3281 135.6050
277 2.2867  -1155.1605 -3032873.9730 135.9601
278 2.2917  -1155.1604 -3032873.6186 136.3145
279 2.2967  -1155.1603 -3032873.2648 136.6684
280 2.3018  -1155.1601 -3032872.9116 137.0215
281 2.3068  -1155.1600 -3032872.5590 137.3741
282 2.3118  -1155.1599 -3032872.2071 137.7260
283 2.3168  -1155.1597 -3032871.8558 138.0773
284 2.3218  -1155.1596 -3032871.5052 138.4279
285 2.3268  -1155.1595 -3032871.1553 138.7778
286 2.3318  -1155.1593 -3032870.8060 139.1271
287 2.3368  -1155.1592 -3032870.4574 139.4757
288 2.3418  -1155.1591 -3032870.1095 139.8236
289 2.3468  -1155.1589 -3032869.7623 140.1708
290 2.3518  -1155.1588 -3032869.4159 140.5172
291 2.3568  -1155.1587 -3032869.0701 140.8630
292 2.3618  -1155.1585 -3032868.7250 141.2081
293 2.3668  -1155.1584 -3032868.3807 141.5524
294 2.3718  -1155.1583 -3032868.0371 141.8960
295 2.3768  -1155.1581 -3032867.6942 142.2389
296 2.3819  -1155.1580 -3032867.3521 142.5810
297 2.3869  -1155.1579 -3032867.0107 142.9224
298 2.3919  -1155.1577 -3032866.6701 143.2630
299 2.3969  -1155.1576 -3032866.3302 143.6029
300 2.4019  -1155.1575 -3032865.9911 143.9420
301 2.4069  -1155.1574 -3032865.6527 144.2804
302 2.4119  -1155.1572 -3032865.3152 144.6179
303 2.4169  -1155.1571 -3032864.9784 144.9547
304 2.4219  -1155.1570 -3032864.6423 145.2908
305 2.4269  -1155.1568 -3032864.3071 145.6260
306 2.4319  -1155.1567 -3032863.9727 145.9604
307 2.4369  -1155.1566 -3032863.6390 146.2941
308 2.4419  -1155.1565 -3032863.3062 146.6270
309 2.4469  -1155.1563 -3032862.9741 146.9590
310 2.4519  -1155.1562 -3032862.6429 147.2902
311 2.4569  -1155.1561 -3032862.3125 147.6206
312 2.4620  -1155.1560 -3032861.9829 147.9502
313 2.4670  -1155.1558 -3032861.6541 148.2790
314 2.4720  -1155.1557 -3032861.3262 148.6069
315 2.4770  -1155.1556 -3032860.9991 148.9341
316 2.4820  -1155.1555 -3032860.6741 149.2590
317 2.4870  -1155.1553 -3032860.3476 149.5856
318 2.4920  -1155.1552 -3032860.0240 149.9091
319 2.4970  -1155.1551 -3032859.6997 150.2334
320 2.5020  -1155.1550 -3032859.3778 150.5553
321 2.5070  -1155.1548 -3032859.0553 150.8778
322 2.5120  -1155.1547 -3032858.7349 151.1982
323 2.5170  -1155.1546 -3032858.4132 151.5199
324 2.5220  -1155.1545 -3032858.0949 151.8382
325 2.5270  -1155.1544 -3032857.7757 152.1574
326 2.5320  -1155.1542 -3032857.4589 152.4742
327 2.5370  -1155.1541 -3032857.1416 152.7916
328 2.5421  -1155.1540 -3032856.8262 153.1069
329 2.5471  -1155.1539 -3032856.5097 153.4234
330 2.5521  -1155.1538 -3032856.1966 153.7365
331 2.5571  -1155.1536 -3032855.8826 154.0506
332 2.5621  -1155.1535 -3032855.5710 154.3621
333 2.5671  -1155.1534 -3032855.2589 154.6742
334 2.5721  -1155.1533 -3032854.9488 154.9843
335 2.5771  -1155.1532 -3032854.6375 155.2956
336 2.5821  -1155.1530 -3032854.3297 155.6035
337 2.5871  -1155.1529 -3032854.0209 155.9122
338 2.5921  -1155.1528 -3032853.7146 156.2185
339 2.5971  -1155.1527 -3032853.4077 156.5254
340 2.6021  -1155.1526 -3032853.1030 156.8301
341 2.6071  -1155.1525 -3032852.7970 157.1361
342 2.6121  -1155.1523 -3032852.4944 157.4387
343 2.6171  -1155.1522 -3032852.1910 157.7421
344 2.6222  -1155.1521 -3032851.8901 158.0430
345 2.6272  -1155.1520 -3032851.5885 158.3446
346 2.6322  -1155.1519 -3032851.2891 158.6440
347 2.6372  -1155.1518 -3032850.9885 158.9446
348 2.6422  -1155.1517 -3032850.6913 159.2419
349 2.6472  -1155.1515 -3032850.3932 159.5400
350 2.6522  -1155.1514 -3032850.0976 159.8355
351 2.6572  -1155.1513 -3032849.8015 160.1317
352 2.6622  -1155.1512 -3032849.5074 160.4257
353 2.6672  -1155.1511 -3032849.2122 160.7209
354 2.6722  -1155.1510 -3032848.9204 161.0127
355 2.6772  -1155.1509 -3032848.6277 161.3054
356 2.6822  -1155.1508 -3032848.3376 161.5956
357 2.6872  -1155.1507 -3032848.0468 161.8864
358 2.6922  -1155.1505 -3032847.7581 162.1750
359 2.6972  -1155.1504 -3032847.4684 162.4647
360 2.7023  -1155.1503 -3032847.1819 162.7512
361 2.7073  -1155.1502 -3032846.8947 163.0384
362 2.7123  -1155.1501 -3032846.6100 163.3231
363 2.7173  -1155.1500 -3032846.3246 163.6085
364 2.7223  -1155.1499 -3032846.0414 163.8917
365 2.7273  -1155.1498 -3032845.7570 164.1761
366 2.7323  -1155.1497 -3032845.4761 164.4570
367 2.7373  -1155.1496 -3032845.1943 164.7388
368 2.7423  -1155.1495 -3032844.9151 165.0180
369 2.7473  -1155.1494 -3032844.6352 165.2979
370 2.7523  -1155.1493 -3032844.3575 165.5757
371 2.7573  -1155.1491 -3032844.0786 165.8545
372 2.7623  -1155.1490 -3032843.8031 166.1300
373 2.7673  -1155.1489 -3032843.5268 166.4063
374 2.7723  -1155.1488 -3032843.2530 166.6801
375 2.7773  -1155.1487 -3032842.9786 166.9545
376 2.7824  -1155.1486 -3032842.7064 167.2267
377 2.7874  -1155.1485 -3032842.4331 167.5000
378 2.7924  -1155.1484 -3032842.1631 167.7700
379 2.7974  -1155.1483 -3032841.8922 168.0409
380 2.8024  -1155.1482 -3032841.6240 168.3091
381 2.8074  -1155.1481 -3032841.3551 168.5780
382 2.8124  -1155.1480 -3032841.0884 168.8447
383 2.8174  -1155.1479 -3032840.8206 169.1125
384 2.8224  -1155.1478 -3032840.5562 169.3769
385 2.8274  -1155.1477 -3032840.2909 169.6422
386 2.8324  -1155.1476 -3032840.0282 169.9049
387 2.8374  -1155.1475 -3032839.7649 170.1682
