0 0.9000  -1416.9752 -3720268.4788 83.1770
1 0.9050  -1416.9773 -3720273.8683 77.7876
2 0.9100  -1416.9793 -3720279.0224 72.6335
3 0.9150  -1416.9811 -3720283.9492 67.7066
4 0.9200  -1416.9829 -3720288.6528 63.0030
5 0.9250  -1416.9846 -3720293.1402 58.5156
6 0.9300  -1416.9863 -3720297.4175 54.2383
7 0.9350  -1416.9878 -3720301.4905 50.1654
8 0.9401  -1416.9893 -3720305.3674 46.2885
9 0.9451  -1416.9907 -3720309.0482 42.6076
10 0.9501  -1416.9920 -3720312.5405 39.1153
11 0.9551  -1416.9933 -3720315.8498 35.8061
12 0.9601  -1416.9945 -3720318.9811 32.6748
13 0.9651  -1416.9956 -3720321.9429 29.7130
14 0.9701  -1416.9967 -3720324.7329 26.9230
15 0.9751  -1416.9977 -3720327.3583 24.2976
16 0.9801  -1416.9986 -3720329.8243 21.8315
17 0.9851  -1416.9995 -3720332.1354 19.5205
18 0.9901  -1417.0003 -3720334.3001 17.3557
19 0.9951  -1417.0011 -3720336.3143 15.3416
20 1.0001  -1417.0018 -3720338.1850 13.4709
21 1.0051  -1417.0024 -3720339.9169 11.7390
22 1.0101  -1417.0031 -3720341.5140 10.1419
23 1.0151  -1417.0036 -3720342.9799 8.6759
24 1.0202  -1417.0041 -3720344.3326 7.3233
25 1.0252  -1417.0046 -3720345.5507 6.1052
26 1.0302  -1417.0050 -3720346.6458 5.0100
27 1.0352  -1417.0054 -3720347.6241 4.0317
28 1.0402  -1417.0057 -3720348.4875 3.1683
29 1.0452  -1417.0060 -3720349.2412 2.4147
30 1.0502  -1417.0062 -3720349.8859 1.7700
31 1.0552  -1417.0064 -3720350.4254 1.2305
32 1.0602  -1417.0066 -3720350.8657 0.7902
33 1.0652  -1417.0067 -3720351.2049 0.4509
34 1.0702  -1417.0068 -3720351.4477 0.2082
35 1.0752  -1417.0069 -3720351.5971 0.0588
36 1.0802  -1417.0069 -3720351.6559 0.0000
37 1.0852  -1417.0069 -3720351.6309 0.0250
38 1.0902  -1417.0069 -3720351.5165 0.1394
39 1.0952  -1417.0068 -3720351.3183 0.3376
40 1.1003  -1417.0067 -3720351.0394 0.6164
41 1.1053  -1417.0065 -3720350.6822 0.9736
42 1.1103  -1417.0064 -3720350.2863 1.3696
43 1.1153  -1417.0062 -3720349.7849 1.8710
44 1.1203  -1417.0060 -3720349.2113 2.4446
45 1.1253  -1417.0057 -3720348.5679 3.0879
46 1.1303  -1417.0055 -3720347.8570 3.7989
47 1.1353  -1417.0052 -3720347.0804 4.5755
48 1.1403  -1417.0049 -3720346.2402 5.4157
49 1.1453  -1417.0045 -3720345.3382 6.3176
