0 0.9000  -1350.3287 -3545288.0823 84.5703
1 0.9050  -1350.3308 -3545293.5008 79.1518
2 0.9100  -1350.3328 -3545298.6848 73.9678
3 0.9150  -1350.3347 -3545303.6410 69.0116
4 0.9200  -1350.3365 -3545308.3756 64.2770
5 0.9250  -1350.3382 -3545312.8946 59.7580
6 0.9300  -1350.3398 -3545317.2041 55.4485
7 0.9350  -1350.3414 -3545321.3097 51.3429
8 0.9401  -1350.3429 -3545325.2170 47.4356
9 0.9451  -1350.3443 -3545328.9314 43.7212
10 0.9501  -1350.3456 -3545332.4568 40.1958
11 0.9551  -1350.3469 -3545335.8017 36.8509
12 0.9601  -1350.3481 -3545338.9683 33.6843
13 0.9651  -1350.3493 -3545341.9620 30.6906
14 0.9701  -1350.3503 -3545344.7878 27.8648
15 0.9751  -1350.3513 -3545347.4502 25.2024
16 0.9801  -1350.3523 -3545349.9538 22.6988
17 0.9851  -1350.3532 -3545352.3028 20.3498
18 0.9901  -1350.3540 -3545354.5014 18.1512
19 0.9951  -1350.3548 -3545356.5539 16.0987
20 1.0001  -1350.3555 -3545358.4643 14.1883
21 1.0051  -1350.3562 -3545360.2353 12.4174
22 1.0101  -1350.3568 -3545361.8740 10.7786
23 1.0151  -1350.3574 -3545363.3817 9.2710
24 1.0202  -1350.3579 -3545364.7624 7.8902
25 1.0252  -1350.3584 -3545366.0193 6.6333
26 1.0302  -1350.3588 -3545367.1570 5.4956
27 1.0352  -1350.3592 -3545368.1778 4.4748
28 1.0402  -1350.3596 -3545369.0850 3.5677
29 1.0452  -1350.3599 -3545369.8819 2.7707
30 1.0502  -1350.3601 -3545370.5722 2.0804
31 1.0552  -1350.3604 -3545371.1584 1.4942
32 1.0602  -1350.3606 -3545371.6431 1.0095
33 1.0652  -1350.3607 -3545372.0299 0.6227
34 1.0702  -1350.3608 -3545372.3216 0.3310
35 1.0752  -1350.3609 -3545372.5211 0.1315
36 1.0802  -1350.3609 -3545372.6302 0.0224
37 1.0852  -1350.3609 -3545372.6526 0.0000
38 1.0902  -1350.3609 -3545372.5895 0.0631
39 1.0952  -1350.3609 -3545372.4449 0.2077
40 1.1003  -1350.3608 -3545372.2196 0.4330
41 1.1053  -1350.3607 -3545371.9257 0.7269
42 1.1103  -1350.3605 -3545371.5495 1.1031
43 1.1153  -1350.3604 -3545371.1001 1.5526
44 1.1203  -1350.3602 -3545370.5796 2.0730
45 1.1253  -1350.3599 -3545369.9905 2.6621
46 1.1303  -1350.3597 -3545369.3357 3.3169
47 1.1353  -1350.3594 -3545368.6151 4.0375
48 1.1403  -1350.3593 -3545368.4279 4.2247
49 1.1453  -1350.3591 -3545367.7069 4.9457
50 1.1503  -1350.3588 -3545366.9319 5.7207
51 1.1553  -1350.3585 -3545366.1224 6.5302
52 1.1603  -1350.3581 -3545365.2535 7.3992
53 1.1653  -1350.3578 -3545364.3507 8.3019
54 1.1703  -1350.3574 -3545363.3963 9.2563
55 1.1753  -1350.3570 -3545362.3990 10.2536
56 1.1804  -1350.3566 -3545361.3734 11.2792
57 1.1854  -1350.3562 -3545360.3011 12.3516
58 1.1904  -1350.3558 -3545359.2025 13.4501
59 1.1954  -1350.3554 -3545358.0642 14.5884
60 1.2004  -1350.3549 -3545356.8985 15.7541
61 1.2054  -1350.3545 -3545355.6989 16.9537
62 1.2104  -1350.3540 -3545354.4765 18.1761
63 1.2154  -1350.3535 -3545353.2241 19.4285
64 1.2204  -1350.3531 -3545351.9546 20.6980
65 1.2254  -1350.3526 -3545350.6580 21.9946
66 1.2304  -1350.3521 -3545349.3505 23.3021
67 1.2354  -1350.3516 -3545348.0184 24.6342
68 1.2404  -1350.3510 -3545346.6815 25.9711
69 1.2454  -1350.3505 -3545345.3224 27.3302
70 1.2504  -1350.3500 -3545343.9642 28.6884
71 1.2554  -1350.3495 -3545342.5862 30.0664
72 1.2605  -1350.3490 -3545341.2135 31.4391
73 1.2655  -1350.3484 -3545339.8260 32.8266
74 1.2705  -1350.3479 -3545338.4331 34.2195
75 1.2755  -1350.3474 -3545337.0589 35.5937
76 1.2805  -1350.3469 -3545335.6680 36.9846
77 1.2855  -1350.3463 -3545334.2926 38.3600
78 1.2905  -1350.3458 -3545332.9118 39.7408
79 1.2955  -1350.3453 -3545331.5550 41.0976
80 1.3005  -1350.3448 -3545330.2012 42.4514
81 1.3055  -1350.3443 -3545328.8551 43.7975
82 1.3105  -1350.3438 -3545327.5346 45.1180
83 1.3155  -1350.3433 -3545326.2305 46.4221
84 1.3205  -1350.3428 -3545324.9437 47.7089
85 1.3255  -1350.3423 -3545323.6972 48.9554
86 1.3305  -1350.3418 -3545322.4800 50.1726
87 1.3355  -1350.3414 -3545321.2728 51.3798
88 1.3406  -1350.3409 -3545320.1297 52.5229
89 1.3456  -1350.3405 -3545318.9794 53.6732
90 1.3506  -1350.3401 -3545317.9037 54.7489
91 1.3556  -1350.3397 -3545316.8254 55.8272
92 1.3606  -1350.3393 -3545315.7750 56.8777
93 1.3656  -1350.3389 -3545314.7591 57.8935
94 1.3706  -1350.3385 -3545313.7486 58.9040
95 1.3756  -1350.3381 -3545312.8101 59.8425
96 1.3806  -1350.3378 -3545311.8683 60.7843
97 1.3856  -1350.3374 -3545310.9594 61.6932
98 1.3906  -1350.3373 -3545310.6723 61.9803
99 1.3956  -1350.3370 -3545309.8274 62.8252
100 1.4006  -1350.3367 -3545309.0065 63.6461
101 1.4056  -1350.3364 -3545308.2142 64.4384
102 1.4106  -1350.3361 -3545307.4433 65.2093
103 1.4156  -1350.3358 -3545306.7041 65.9485
104 1.4207  -1350.3355 -3545305.9794 66.6732
105 1.4257  -1350.3353 -3545305.2849 67.3677
106 1.4307  -1350.3350 -3545304.6024 68.0502
107 1.4357  -1350.3348 -3545303.9469 68.7057
108 1.4407  -1350.3345 -3545303.3031 69.3495
109 1.4457  -1350.3343 -3545302.6832 69.9694
110 1.4507  -1350.3341 -3545302.0752 70.5774
111 1.4557  -1350.3338 -3545301.4881 71.1645
112 1.4607  -1350.3336 -3545300.9134 71.7392
113 1.4657  -1350.3334 -3545300.3549 72.2978
114 1.4707  -1350.3332 -3545299.8110 72.8417
115 1.4757  -1350.3330 -3545299.2819 73.3707
116 1.4807  -1350.3328 -3545298.7664 73.8862
117 1.4857  -1350.3326 -3545298.2637 74.3889
118 1.4907  -1350.3324 -3545297.7739 74.8788
119 1.4957  -1350.3322 -3545297.2951 75.3575
120 1.5008  -1350.3321 -3545296.8287 75.8239
121 1.5058  -1350.3319 -3545296.3718 76.2809
122 1.5108  -1350.3317 -3545295.9262 76.7264
123 1.5158  -1350.3316 -3545295.4901 77.1625
124 1.5208  -1350.3314 -3545295.0641 77.5885
125 1.5258  -1350.3312 -3545294.6454 78.0072
126 1.5308  -1350.3311 -3545294.2369 78.4158
127 1.5358  -1350.3309 -3545293.8352 78.8175
128 1.5408  -1350.3308 -3545293.4422 79.2104
129 1.5458  -1350.3306 -3545293.0552 79.5974
130 1.5508  -1350.3305 -3545292.6764 79.9762
131 1.5558  -1350.3303 -3545292.3043 80.3483
132 1.5608  -1350.3302 -3545291.9373 80.7153
133 1.5658  -1350.3301 -3545291.5754 81.0772
