0 0.9000  -545.2860 -1431648.5152 85.4408
1 0.9050  -545.2881 -1431653.9696 79.9864
2 0.9100  -545.2901 -1431659.1789 74.7771
3 0.9150  -545.2920 -1431664.1810 69.7750
4 0.9200  -545.2938 -1431668.9502 65.0058
5 0.9250  -545.2956 -1431673.5034 60.4527
6 0.9300  -545.2972 -1431677.8459 56.1101
7 0.9350  -545.2988 -1431681.9646 51.9914
8 0.9401  -545.3003 -1431685.9240 48.0320
9 0.9451  -545.3017 -1431689.6699 44.2861
10 0.9501  -545.3031 -1431693.2273 40.7287
11 0.9551  -545.3044 -1431696.5999 37.3561
12 0.9601  -545.3056 -1431699.7977 34.1583
13 0.9651  -545.3067 -1431702.8203 31.1357
14 0.9701  -545.3078 -1431705.6742 28.2818
15 0.9751  -545.3088 -1431708.3641 25.5920
16 0.9801  -545.3098 -1431710.8873 23.0687
17 0.9851  -545.3107 -1431713.2693 20.6867
18 0.9901  -545.3116 -1431715.4931 18.4629
19 0.9951  -545.3123 -1431717.5700 16.3860
20 1.0001  -545.3131 -1431719.5039 14.4521
21 1.0051  -545.3138 -1431721.2805 12.6755
22 1.0101  -545.3144 -1431722.9591 10.9970
23 1.0151  -545.3150 -1431724.4875 9.4686
24 1.0202  -545.3155 -1431725.8881 8.0679
25 1.0252  -545.3160 -1431727.1638 6.7922
26 1.0302  -545.3164 -1431728.2881 5.6680
27 1.0352  -545.3168 -1431729.3579 4.5981
28 1.0402  -545.3172 -1431730.2816 3.6744
29 1.0452  -545.3175 -1431731.0943 2.8617
30 1.0502  -545.3178 -1431731.7888 2.1672
31 1.0552  -545.3180 -1431732.3992 1.5568
32 1.0602  -545.3182 -1431732.8971 1.0589
33 1.0652  -545.3183 -1431733.2960 0.6600
34 1.0702  -545.3185 -1431733.5984 0.3577
35 1.0752  -545.3185 -1431733.7752 0.1808
36 1.0802  -545.3186 -1431733.9261 0.0299
37 1.0852  -545.3186 -1431733.9560 0.0000
38 1.0902  -545.3186 -1431733.8999 0.0562
39 1.0952  -545.3185 -1431733.7460 0.2101
40 1.1003  -545.3184 -1431733.5409 0.4151
41 1.1053  -545.3183 -1431733.2421 0.7139
42 1.1103  -545.3182 -1431732.8670 1.0891
43 1.1153  -545.3180 -1431732.4173 1.5388
44 1.1203  -545.3178 -1431731.8758 2.0802
45 1.1253  -545.3176 -1431731.3051 2.6509
46 1.1303  -545.3173 -1431730.6459 3.3101
47 1.1353  -545.3171 -1431729.9208 4.0352
48 1.1403  -545.3168 -1431729.1309 4.8252
49 1.1453  -545.3164 -1431728.2110 5.7450
50 1.1503  -545.3161 -1431727.3690 6.5871
51 1.1553  -545.3157 -1431726.3989 7.5572
52 1.1603  -545.3153 -1431725.3712 8.5849
53 1.1653  -545.3149 -1431724.2412 9.7148
54 1.1703  -545.3145 -1431723.1546 10.8014
55 1.1753  -545.3140 -1431721.9674 11.9887
56 1.1804  -545.3136 -1431720.7296 13.2264
57 1.1854  -545.3131 -1431719.4226 14.5335
58 1.1904  -545.3126 -1431718.1100 15.8460
59 1.1954  -545.3120 -1431716.7306 17.2254
60 1.2004  -545.3115 -1431715.3068 18.6492
61 1.2054  -545.3109 -1431713.8322 20.1238
62 1.2104  -545.3104 -1431712.3317 21.6243
63 1.2154  -545.3098 -1431710.7829 23.1731
64 1.2204  -545.3092 -1431709.1951 24.7610
65 1.2254  -545.3085 -1431707.5692 26.3868
66 1.2304  -545.3079 -1431705.8901 28.0659
67 1.2354  -545.3073 -1431704.2095 29.7465
68 1.2404  -545.3066 -1431702.4775 31.4785
69 1.2454  -545.3059 -1431700.7124 33.2436
70 1.2504  -545.3052 -1431698.9152 35.0408
71 1.2554  -545.3045 -1431697.0853 36.8707
72 1.2605  -545.3038 -1431695.2292 38.7268
73 1.2655  -545.3031 -1431693.3423 40.6138
74 1.2705  -545.3024 -1431691.4274 42.5286
75 1.2755  -545.3017 -1431689.4855 44.4705
76 1.2805  -545.3009 -1431687.5174 46.4386
77 1.2855  -545.3001 -1431685.4968 48.4592
78 1.2905  -545.2994 -1431683.5076 50.4484
79 1.2955  -545.2986 -1431681.4671 52.4890
80 1.3005  -545.2978 -1431679.4036 54.5524
81 1.3055  -545.2970 -1431677.2984 56.6576
82 1.3105  -545.2962 -1431675.2135 58.7425
83 1.3155  -545.2954 -1431673.0877 60.8683
84 1.3205  -545.2946 -1431670.9425 63.0135
85 1.3255  -545.2938 -1431668.7784 65.1776
86 1.3305  -545.2929 -1431666.5707 67.3853
87 1.3355  -545.2921 -1431664.3981 69.5579
88 1.3406  -545.2913 -1431662.1826 71.7734
89 1.3456  -545.2904 -1431659.9508 74.0052
90 1.3506  -545.2895 -1431657.6809 76.2751
91 1.3556  -545.2887 -1431655.4436 78.5124
92 1.3606  -545.2878 -1431653.1686 80.7874
93 1.3656  -545.2869 -1431650.8800 83.0761
94 1.3706  -545.2861 -1431648.5698 85.3862
95 1.3756  -545.2852 -1431646.2656 87.6904
96 1.3806  -545.2843 -1431643.9406 90.0154
97 1.3856  -545.2834 -1431641.6045 92.3515
98 1.3906  -545.2825 -1431639.2572 94.6988
99 1.3956  -545.2816 -1431636.8570 97.0990
100 1.4006  -545.2807 -1431634.5352 99.4208
101 1.4056  -545.2798 -1431632.1601 101.7959
102 1.4106  -545.2789 -1431629.7762 104.1798
103 1.4156  -545.2780 -1431627.3616 106.5944
104 1.4207  -545.2771 -1431624.9855 108.9705
105 1.4257  -545.2762 -1431622.5791 111.3769
106 1.4307  -545.2752 -1431620.1655 113.7905
107 1.4357  -545.2743 -1431617.7161 116.2399
108 1.4407  -545.2734 -1431615.3216 118.6344
109 1.4457  -545.2725 -1431612.8910 121.0650
110 1.4507  -545.2716 -1431610.4551 123.5010
111 1.4557  -545.2706 -1431607.9856 125.9704
112 1.4607  -545.2697 -1431605.5707 128.3853
113 1.4657  -545.2688 -1431603.1222 130.8338
114 1.4707  -545.2678 -1431600.6699 133.2861
115 1.4757  -545.2669 -1431598.1959 135.7601
116 1.4807  -545.2660 -1431595.7572 138.1988
117 1.4857  -545.2650 -1431593.2968 140.6593
118 1.4907  -545.2641 -1431590.8341 143.1220
119 1.4957  -545.2631 -1431588.3694 145.5867
120 1.5008  -545.2622 -1431585.8979 148.0581
121 1.5058  -545.2613 -1431583.4360 150.5200
122 1.5108  -545.2603 -1431580.9676 152.9884
123 1.5158  -545.2594 -1431578.4984 155.4576
124 1.5208  -545.2584 -1431576.0270 157.9290
125 1.5258  -545.2575 -1431573.5592 160.3968
126 1.5308  -545.2566 -1431571.0896 162.8665
127 1.5358  -545.2556 -1431568.6202 165.3358
128 1.5408  -545.2547 -1431566.1515 167.8046
129 1.5458  -545.2537 -1431563.6825 170.2735
130 1.5508  -545.2528 -1431561.2169 172.7392
131 1.5558  -545.2519 -1431558.7513 175.2047
132 1.5608  -545.2509 -1431556.2872 177.6688
133 1.5658  -545.2500 -1431553.8218 180.1343
134 1.5708  -545.2490 -1431551.3646 182.5914
135 1.5758  -545.2481 -1431548.9063 185.0497
136 1.5809  -545.2472 -1431546.4504 187.5056
137 1.5859  -545.2462 -1431543.9968 189.9592
138 1.5909  -545.2453 -1431541.5245 192.4315
139 1.5959  -545.2444 -1431539.0988 194.8572
140 1.6009  -545.2434 -1431536.6541 197.3019
141 1.6059  -545.2425 -1431534.2126 199.7434
142 1.6109  -545.2416 -1431531.7593 202.1967
143 1.6159  -545.2407 -1431529.3406 204.6154
144 1.6209  -545.2397 -1431526.9101 207.0460
145 1.6259  -545.2388 -1431524.4835 209.4726
146 1.6309  -545.2379 -1431522.0609 211.8951
147 1.6359  -545.2370 -1431519.6380 214.3180
148 1.6409  -545.2360 -1431517.2289 216.7271
149 1.6459  -545.2351 -1431514.8195 219.1365
150 1.6509  -545.2342 -1431512.4148 221.5412
151 1.6559  -545.2333 -1431510.0143 223.9417
152 1.6610  -545.2324 -1431507.5610 226.3950
153 1.6660  -545.2315 -1431505.2302 228.7258
154 1.6710  -545.2306 -1431502.8454 231.1106
155 1.6760  -545.2297 -1431500.4652 233.4908
156 1.6810  -545.2287 -1431498.0458 235.9102
157 1.6860  -545.2279 -1431495.7235 238.2325
158 1.6910  -545.2270 -1431493.3605 240.5955
159 1.6960  -545.2261 -1431491.0031 242.9529
160 1.7010  -545.2251 -1431488.6291 245.3269
161 1.7060  -545.2243 -1431486.3066 247.6494
162 1.7110  -545.2234 -1431483.9672 249.9889
163 1.7160  -545.2225 -1431481.6335 252.3225
164 1.7210  -545.2216 -1431479.2781 254.6779
165 1.7260  -545.2207 -1431476.9858 256.9702
166 1.7310  -545.2198 -1431474.6713 259.2848
167 1.7360  -545.2190 -1431472.3625 261.5935
168 1.7411  -545.2181 -1431470.0268 263.9292
169 1.7461  -545.2172 -1431467.7664 266.1897
170 1.7511  -545.2163 -1431465.4779 268.4781
171 1.7561  -545.2155 -1431463.1959 270.7601
172 1.7611  -545.2146 -1431460.9049 273.0511
173 1.7661  -545.2137 -1431458.6529 275.3031
174 1.7711  -545.2129 -1431456.3915 277.5645
175 1.7761  -545.2120 -1431454.1371 279.8190
176 1.7811  -545.2112 -1431451.8895 282.0665
177 1.7861  -545.2103 -1431449.6406 284.3154
178 1.7911  -545.2095 -1431447.4159 286.5401
179 1.7961  -545.2086 -1431445.1897 288.7664
180 1.8011  -545.2078 -1431442.9706 290.9854
181 1.8061  -545.2069 -1431440.7585 293.1975
182 1.8111  -545.2061 -1431438.5258 295.4303
183 1.8161  -545.2052 -1431436.3570 297.5990
184 1.8212  -545.2044 -1431434.1671 299.7889
185 1.8262  -545.2036 -1431431.9839 301.9722
186 1.8312  -545.2027 -1431429.7700 304.1860
187 1.8362  -545.2019 -1431427.6418 306.3142
188 1.8412  -545.2011 -1431425.4815 308.4745
189 1.8462  -545.2003 -1431423.3287 310.6273
190 1.8512  -545.1995 -1431421.1643 312.7918
191 1.8562  -545.1986 -1431419.0463 314.9098
192 1.8612  -545.1978 -1431416.9163 317.0398
193 1.8662  -545.1970 -1431414.7939 319.1621
194 1.8712  -545.1962 -1431412.6785 321.2775
195 1.8762  -545.1954 -1431410.5321 323.4240
196 1.8812  -545.1946 -1431408.4730 325.4830
197 1.8862  -545.1938 -1431406.3814 327.5747
198 1.8912  -545.1930 -1431404.2974 329.6587
199 1.8962  -545.1922 -1431402.2015 331.7545
200 1.9013  -545.1915 -1431400.1532 333.8028
201 1.9063  -545.1907 -1431398.0926 335.8634
202 1.9113  -545.1899 -1431396.0399 337.9161
203 1.9163  -545.1891 -1431393.9939 339.9621
204 1.9213  -545.1883 -1431391.8921 342.0640
205 1.9263  -545.1876 -1431389.9287 344.0273
206 1.9313  -545.1868 -1431387.9072 346.0488
207 1.9363  -545.1860 -1431385.8936 348.0625
208 1.9413  -545.1852 -1431383.8725 350.0835
209 1.9463  -545.1845 -1431381.8902 352.0658
210 1.9513  -545.1837 -1431379.9002 354.0558
211 1.9563  -545.1830 -1431377.9181 356.0379
212 1.9613  -545.1822 -1431375.9435 358.0125
213 1.9663  -545.1815 -1431373.9449 360.0112
214 1.9713  -545.1807 -1431372.0191 361.9369
215 1.9763  -545.1800 -1431370.0684 363.8876
216 1.9814  -545.1793 -1431368.1253 365.8307
217 1.9864  -545.1785 -1431366.1702 367.7858
218 1.9914  -545.1778 -1431364.2638 369.6922
219 1.9964  -545.1770 -1431362.3446 371.6114
220 2.0014  -545.1763 -1431360.4332 373.5228
221 2.0064  -545.1756 -1431358.5151 375.4409
222 2.0114  -545.1749 -1431356.6343 377.3217
223 2.0164  -545.1742 -1431354.7465 379.2095
224 2.0214  -545.1734 -1431352.8666 381.0895
225 2.0264  -545.1727 -1431350.9940 382.9620
226 2.0314  -545.1720 -1431349.0882 384.8678
227 2.0364  -545.1713 -1431347.2737 386.6823
228 2.0414  -545.1706 -1431345.4251 388.5310
229 2.0464  -545.1699 -1431343.5836 390.3724
230 2.0514  -545.1692 -1431341.7225 392.2335
231 2.0564  -545.1685 -1431339.9257 394.0303
232 2.0615  -545.1678 -1431338.1082 395.8479
233 2.0665  -545.1671 -1431336.2983 397.6578
234 2.0715  -545.1664 -1431334.4878 399.4682
235 2.0765  -545.1658 -1431332.7020 401.2541
236 2.0815  -545.1651 -1431330.9153 403.0407
237 2.0865  -545.1644 -1431329.1364 404.8196
238 2.0915  -545.1637 -1431327.3649 406.5912
239 2.0965  -545.1630 -1431325.5710 408.3850
240 2.1015  -545.1624 -1431323.8459 410.1101
241 2.1065  -545.1617 -1431322.0977 411.8584
242 2.1115  -545.1611 -1431320.3568 413.5993
243 2.1165  -545.1604 -1431318.6034 415.3526
244 2.1215  -545.1597 -1431316.8990 417.0570
245 2.1265  -545.1591 -1431315.1813 418.7747
246 2.1315  -545.1584 -1431313.4710 420.4851
247 2.1365  -545.1578 -1431311.7377 422.2183
248 2.1416  -545.1571 -1431310.0739 423.8821
249 2.1466  -545.1565 -1431308.3865 425.5695
250 2.1516  -545.1559 -1431306.7063 427.2497
251 2.1566  -545.1552 -1431305.0113 428.9447
252 2.1616  -545.1546 -1431303.3697 430.5864
253 2.1666  -545.1540 -1431301.7123 432.2437
254 2.1716  -545.1533 -1431300.0604 433.8956
255 2.1766  -545.1527 -1431298.4202 435.5358
256 2.1816  -545.1521 -1431296.7852 437.1708
257 2.1866  -545.1515 -1431295.1576 438.7984
258 2.1916  -545.1508 -1431293.5334 440.4226
259 2.1966  -545.1502 -1431291.9249 442.0311
260 2.2016  -545.1496 -1431290.3195 443.6365
261 2.2066  -545.1490 -1431288.7215 445.2345
262 2.2116  -545.1484 -1431287.1303 446.8257
263 2.2166  -545.1478 -1431285.5215 448.4345
264 2.2217  -545.1472 -1431283.9713 449.9847
265 2.2267  -545.1466 -1431282.4025 451.5535
266 2.2317  -545.1460 -1431280.8408 453.1152
267 2.2367  -545.1454 -1431279.2714 454.6847
268 2.2417  -545.1448 -1431277.7395 456.2166
269 2.2467  -545.1442 -1431276.1995 457.7566
270 2.2517  -545.1437 -1431274.6665 459.2895
271 2.2567  -545.1431 -1431273.1328 460.8232
272 2.2617  -545.1425 -1431271.6225 462.3335
273 2.2667  -545.1419 -1431270.1110 463.8450
274 2.2717  -545.1413 -1431268.6067 465.3493
275 2.2767  -545.1408 -1431267.1089 466.8472
276 2.2817  -545.1402 -1431265.5890 468.3670
277 2.2867  -545.1396 -1431264.1358 469.8202
278 2.2917  -545.1391 -1431262.6596 471.2965
279 2.2967  -545.1385 -1431261.1902 472.7658
280 2.3018  -545.1380 -1431259.7240 474.2321
281 2.3068  -545.1374 -1431258.2724 475.6836
282 2.3118  -545.1369 -1431256.8239 477.1321
283 2.3168  -545.1363 -1431255.3822 478.5738
284 2.3218  -545.1358 -1431253.9474 480.0087
285 2.3268  -545.1352 -1431252.5129 481.4431
286 2.3318  -545.1347 -1431251.0983 482.8577
287 2.3368  -545.1341 -1431249.6839 484.2721
288 2.3418  -545.1336 -1431248.2763 485.6797
289 2.3468  -545.1331 -1431246.8753 487.0807
290 2.3518  -545.1325 -1431245.4657 488.4903
291 2.3568  -545.1320 -1431244.0939 489.8622
292 2.3618  -545.1315 -1431242.7131 491.2429
293 2.3668  -545.1310 -1431241.3383 492.6177
294 2.3718  -545.1304 -1431239.9293 494.0267
295 2.3768  -545.1299 -1431238.6107 495.3454
296 2.3819  -545.1294 -1431237.2563 496.6997
