0 0.9000  -969.9457 -2546592.5645 83.4136
1 0.9050  -969.9478 -2546597.9619 78.0162
2 0.9100  -969.9498 -2546603.1190 72.8592
3 0.9150  -969.9516 -2546608.0475 67.9307
4 0.9200  -969.9534 -2546612.7541 63.2240
5 0.9250  -969.9551 -2546617.2454 58.7327
6 0.9300  -969.9568 -2546621.5252 54.4529
7 0.9350  -969.9583 -2546625.6026 50.3756
8 0.9401  -969.9598 -2546629.4800 46.4981
9 0.9451  -969.9612 -2546633.1623 42.8158
10 0.9501  -969.9625 -2546636.6607 39.3174
11 0.9551  -969.9638 -2546639.9738 36.0043
12 0.9601  -969.9650 -2546643.1081 32.8701
13 0.9651  -969.9661 -2546646.0721 29.9060
14 0.9701  -969.9672 -2546648.8661 27.1121
15 0.9751  -969.9682 -2546651.4910 24.4871
16 0.9801  -969.9691 -2546653.9678 22.0103
17 0.9851  -969.9700 -2546656.2839 19.6943
18 0.9901  -969.9708 -2546658.4491 17.5290
19 0.9951  -969.9716 -2546660.4672 15.5109
20 1.0001  -969.9723 -2546662.3465 13.6316
21 1.0051  -969.9730 -2546664.0846 11.8935
22 1.0101  -969.9736 -2546665.6881 10.2900
23 1.0151  -969.9742 -2546667.1631 8.8151
24 1.0202  -969.9747 -2546668.5085 7.4697
25 1.0252  -969.9751 -2546669.7339 6.2443
26 1.0302  -969.9756 -2546670.8356 5.1425
27 1.0352  -969.9759 -2546671.8243 4.1538
28 1.0402  -969.9763 -2546672.6976 3.2805
29 1.0452  -969.9766 -2546673.4345 2.5436
30 1.0502  -969.9768 -2546674.1177 1.8604
31 1.0552  -969.9770 -2546674.6700 1.3082
32 1.0602  -969.9772 -2546675.1230 0.8552
33 1.0652  -969.9773 -2546675.4771 0.5011
34 1.0702  -969.9774 -2546675.7365 0.2417
35 1.0752  -969.9775 -2546675.9045 0.0737
36 1.0802  -969.9775 -2546675.9781 0.0000
37 1.0852  -969.9775 -2546675.9728 0.0053
38 1.0902  -969.9775 -2546675.8807 0.0975
39 1.0952  -969.9774 -2546675.7058 0.2723
40 1.1003  -969.9773 -2546675.4518 0.5264
41 1.1053  -969.9772 -2546675.1202 0.8580
42 1.1103  -969.9770 -2546674.7162 1.2619
43 1.1153  -969.9769 -2546674.2384 1.7397
