0 0.9000  -1071.7051 -2813761.6740 82.2511
1 0.9050  -1071.7071 -2813767.0284 76.8967
2 0.9100  -1071.7091 -2813772.1588 71.7664
3 0.9150  -1071.7109 -2813777.0559 66.8693
4 0.9200  -1071.7127 -2813781.7318 62.1933
5 0.9250  -1071.7144 -2813786.1885 57.7367
6 0.9300  -1071.7160 -2813790.4416 53.4836
7 0.9350  -1071.7176 -2813794.4855 49.4396
8 0.9401  -1071.7190 -2813798.3347 45.5904
9 0.9451  -1071.7204 -2813801.9857 41.9394
10 0.9501  -1071.7218 -2813805.4553 38.4699
11 0.9551  -1071.7230 -2813808.7388 35.1864
12 0.9601  -1071.7242 -2813811.8445 32.0806
13 0.9651  -1071.7253 -2813814.7771 29.1481
14 0.9701  -1071.7264 -2813817.5415 26.3836
15 0.9751  -1071.7273 -2813820.1362 23.7889
16 0.9801  -1071.7283 -2813822.5834 21.3418
17 0.9851  -1071.7291 -2813824.8688 19.0564
18 0.9901  -1071.7300 -2813827.0029 16.9222
19 0.9951  -1071.7307 -2813828.9718 14.9534
20 1.0001  -1071.7314 -2813830.8415 13.0837
21 1.0051  -1071.7321 -2813832.5497 11.3755
22 1.0101  -1071.7327 -2813834.1235 9.8016
23 1.0151  -1071.7332 -2813835.5609 8.3643
24 1.0202  -1071.7337 -2813836.8812 7.0440
25 1.0252  -1071.7342 -2813838.0722 5.8529
26 1.0302  -1071.7346 -2813839.1432 4.7820
27 1.0352  -1071.7349 -2813840.0901 3.8350
28 1.0402  -1071.7353 -2813840.9367 2.9885
29 1.0452  -1071.7355 -2813841.6647 2.2605
30 1.0502  -1071.7358 -2813842.2849 1.6403
31 1.0552  -1071.7360 -2813842.8047 1.1205
32 1.0602  -1071.7361 -2813843.2202 0.7050
33 1.0652  -1071.7363 -2813843.5382 0.3870
34 1.0702  -1071.7363 -2813843.7593 0.1659
35 1.0752  -1071.7364 -2813843.8879 0.0372
36 1.0802  -1071.7364 -2813843.9252 0.0000
37 1.0852  -1071.7364 -2813843.8759 0.0493
38 1.0902  -1071.7363 -2813843.7400 0.1851
39 1.0952  -1071.7362 -2813843.5226 0.4026
40 1.1003  -1071.7361 -2813843.2230 0.7021
41 1.1053  -1071.7360 -2813842.8473 1.0779
42 1.1103  -1071.7358 -2813842.3943 1.5309
43 1.1153  -1071.7356 -2813841.8684 2.0568
44 1.1203  -1071.7354 -2813841.2696 2.6556
45 1.1253  -1071.7351 -2813840.6033 3.3219
46 1.1303  -1071.7349 -2813839.8669 4.0582
47 1.1353  -1071.7346 -2813839.0672 4.8579
48 1.1403  -1071.7342 -2813838.2046 5.7206
49 1.1453  -1071.7339 -2813837.2783 6.6469
50 1.1503  -1071.7335 -2813836.2928 7.6324
51 1.1553  -1071.7331 -2813835.2508 8.6743
52 1.1603  -1071.7327 -2813834.1506 9.7746
53 1.1653  -1071.7322 -2813832.9942 10.9310
54 1.1703  -1071.7318 -2813831.7906 12.1346
55 1.1753  -1071.7313 -2813830.5316 13.3936
56 1.1804  -1071.7308 -2813829.2233 14.7019
57 1.1854  -1071.7303 -2813827.8647 16.0604
58 1.1904  -1071.7298 -2813826.4668 17.4584
59 1.1954  -1071.7292 -2813825.0183 18.9068
60 1.2004  -1071.7286 -2813823.5286 20.3966
61 1.2054  -1071.7280 -2813821.9924 21.9328
62 1.2104  -1071.7274 -2813820.3648 23.5603
63 1.2154  -1071.7268 -2813818.8036 25.1216
64 1.2204  -1071.7262 -2813817.1490 26.7762
65 1.2254  -1071.7256 -2813815.4571 28.4680
66 1.2304  -1071.7249 -2813813.7335 30.1916
67 1.2354  -1071.7242 -2813811.9678 31.9573
68 1.2404  -1071.7235 -2813810.1768 33.7483
69 1.2454  -1071.7229 -2813808.3497 35.5754
70 1.2504  -1071.7221 -2813806.4852 37.4399
71 1.2554  -1071.7214 -2813804.6010 39.3242
72 1.2605  -1071.7207 -2813802.6876 41.2375
73 1.2655  -1071.7200 -2813800.7414 43.1838
74 1.2705  -1071.7192 -2813798.7592 45.1660
75 1.2755  -1071.7184 -2813796.7685 47.1567
76 1.2805  -1071.7177 -2813794.7423 49.1828
77 1.2855  -1071.7169 -2813792.6953 51.2299
78 1.2905  -1071.7161 -2813790.6229 53.3023
79 1.2955  -1071.7153 -2813788.5323 55.3929
80 1.3005  -1071.7145 -2813786.4152 57.5100
81 1.3055  -1071.7137 -2813784.2785 59.6466
82 1.3105  -1071.7129 -2813782.1246 61.8006
83 1.3155  -1071.7120 -2813779.9457 63.9794
84 1.3205  -1071.7112 -2813777.7574 66.1678
85 1.3255  -1071.7104 -2813775.5463 68.3789
86 1.3305  -1071.7095 -2813773.3206 70.6046
87 1.3355  -1071.7087 -2813771.0802 72.8449
88 1.3406  -1071.7078 -2813768.8216 75.1035
89 1.3456  -1071.7069 -2813766.5487 77.3764
90 1.3506  -1071.7061 -2813764.2386 79.6866
91 1.3556  -1071.7052 -2813761.9748 81.9504
92 1.3606  -1071.7043 -2813759.6667 84.2585
93 1.3656  -1071.7034 -2813757.3486 86.5765
94 1.3706  -1071.7025 -2813755.0198 88.9053
95 1.3756  -1071.7016 -2813752.6759 91.2493
96 1.3806  -1071.7008 -2813750.3358 93.5894
97 1.3856  -1071.6999 -2813747.9782 95.9470
98 1.3906  -1071.6990 -2813745.6381 98.2870
99 1.3956  -1071.6981 -2813743.2743 100.6509
100 1.4006  -1071.6971 -2813740.8517 103.0735
101 1.4056  -1071.6963 -2813738.5417 105.3835
102 1.4106  -1071.6954 -2813736.3972 107.5279
103 1.4156  -1071.7097 -2813773.8898 70.0353
104 1.4207  -1071.7096 -2813773.4919 70.4333
105 1.4257  -1071.7094 -2813773.1152 70.8099
106 1.4307  -1071.7093 -2813772.7564 71.1688
107 1.4357  -1071.7092 -2813772.4208 71.5043
108 1.4407  -1071.7090 -2813772.1001 71.8250
109 1.4457  -1071.7089 -2813771.7987 72.1264
110 1.4507  -1071.7088 -2813771.5165 72.4086
111 1.4557  -1071.7087 -2813771.2473 72.6779
112 1.4607  -1071.7086 -2813770.9870 72.9381
113 1.4657  -1071.7085 -2813770.7510 73.1741
114 1.4707  -1071.7084 -2813770.5247 73.4004
115 1.4757  -1071.7084 -2813770.3044 73.6208
116 1.4807  -1071.7083 -2813770.1011 73.8241
117 1.4857  -1071.7082 -2813769.9086 74.0166
118 1.4907  -1071.7081 -2813769.7232 74.2020
119 1.4957  -1071.7081 -2813769.5486 74.3765
120 1.5008  -1071.7080 -2813769.3790 74.5461
121 1.5058  -1071.7079 -2813769.2133 74.7119
122 1.5108  -1071.7079 -2813769.0666 74.8586
123 1.5158  -1071.7078 -2813768.9172 75.0079
124 1.5208  -1071.7078 -2813768.7762 75.1489
125 1.5258  -1071.7077 -2813768.6400 75.2852
126 1.5308  -1071.7077 -2813768.5065 75.4187
127 1.5358  -1071.7076 -2813768.3746 75.5506
128 1.5408  -1071.7076 -2813768.2541 75.6710
129 1.5458  -1071.7075 -2813768.1306 75.7946
130 1.5508  -1071.7075 -2813768.0127 75.9125
131 1.5558  -1071.7074 -2813767.8946 76.0305
132 1.5608  -1071.7074 -2813767.7826 76.1425
133 1.5658  -1071.7074 -2813767.6688 76.2564
134 1.5708  -1071.7073 -2813767.5569 76.3683
135 1.5758  -1071.7073 -2813767.4399 76.4852
136 1.5809  -1071.7072 -2813767.3350 76.5902
137 1.5859  -1071.7072 -2813767.2234 76.7018
138 1.5909  -1071.7071 -2813767.1168 76.8083
139 1.5959  -1071.7071 -2813767.0058 76.9194
140 1.6009  -1071.7071 -2813766.8998 77.0254
141 1.6059  -1071.7070 -2813766.7888 77.1363
142 1.6109  -1071.7070 -2813766.6791 77.2460
143 1.6159  -1071.7069 -2813766.5661 77.3591
144 1.6209  -1071.7069 -2813766.4555 77.4696
145 1.6259  -1071.7069 -2813766.3401 77.5850
146 1.6309  -1071.7068 -2813766.2298 77.6954
147 1.6359  -1071.7068 -2813766.1138 77.8114
148 1.6409  -1071.7067 -2813765.9964 77.9288
149 1.6459  -1071.7067 -2813765.8756 78.0496
150 1.6509  -1071.7066 -2813765.7583 78.1669
151 1.6559  -1071.7066 -2813765.6363 78.2888
152 1.6610  -1071.7065 -2813765.5132 78.4120
153 1.6660  -1071.7065 -2813765.3666 78.5586
154 1.6710  -1071.7064 -2813765.2596 78.6656
155 1.6760  -1071.7064 -2813765.1240 78.8012
156 1.6810  -1071.7063 -2813764.9989 78.9263
157 1.6860  -1071.7063 -2813764.8584 79.0668
158 1.6910  -1071.7062 -2813764.7297 79.1955
159 1.6960  -1071.7062 -2813764.5918 79.3333
160 1.7010  -1071.7061 -2813764.4519 79.4733
161 1.7060  -1071.7061 -2813764.2998 79.6254
162 1.7110  -1071.7060 -2813764.1641 79.7611
163 1.7160  -1071.7060 -2813764.0138 79.9114
164 1.7210  -1071.7059 -2813763.8669 80.0582
