0 0.9000  -1005.7418 -2640575.0960 83.4339
1 0.9050  -1005.7439 -2640580.6619 77.8681
2 0.9100  -1005.7459 -2640585.8125 72.7174
3 0.9150  -1005.7478 -2640590.7245 67.8055
4 0.9200  -1005.7495 -2640595.4369 63.0931
5 0.9250  -1005.7513 -2640599.9225 58.6074
6 0.9300  -1005.7529 -2640604.1940 54.3360
7 0.9350  -1005.7544 -2640608.2702 50.2597
8 0.9401  -1005.7559 -2640612.1435 46.3864
9 0.9451  -1005.7573 -2640615.8239 42.7060
10 0.9501  -1005.7586 -2640619.3099 39.2200
11 0.9551  -1005.7599 -2640622.6267 35.9032
12 0.9601  -1005.7611 -2640625.7587 32.7713
13 0.9651  -1005.7622 -2640628.7185 29.8114
14 0.9701  -1005.7633 -2640631.5092 27.0207
15 0.9751  -1005.7643 -2640634.1375 24.3924
16 0.9801  -1005.7652 -2640636.6061 21.9238
17 0.9851  -1005.7661 -2640638.9197 19.6102
18 0.9901  -1005.7669 -2640641.0832 17.4467
19 0.9951  -1005.7677 -2640643.0723 15.4577
20 1.0001  -1005.7684 -2640644.9751 13.5548
21 1.0051  -1005.7691 -2640646.7114 11.8185
22 1.0101  -1005.7697 -2640648.3124 10.2175
23 1.0151  -1005.7702 -2640649.7556 8.7743
24 1.0202  -1005.7708 -2640651.1275 7.4024
25 1.0252  -1005.7712 -2640652.3473 6.1826
26 1.0302  -1005.7716 -2640653.4459 5.0840
27 1.0352  -1005.7720 -2640654.3998 4.1301
28 1.0402  -1005.7723 -2640655.2985 3.2314
29 1.0452  -1005.7726 -2640656.0572 2.4727
30 1.0502  -1005.7729 -2640656.6950 1.8350
31 1.0552  -1005.7731 -2640657.2561 1.2738
32 1.0602  -1005.7733 -2640657.7018 0.8281
33 1.0652  -1005.7734 -2640658.0492 0.4807
34 1.0702  -1005.7735 -2640658.3009 0.2290
35 1.0752  -1005.7735 -2640658.4506 0.0793
36 1.0802  -1005.7736 -2640658.5299 0.0000
37 1.0852  -1005.7736 -2640658.5108 0.0192
38 1.0902  -1005.7735 -2640658.4076 0.1224
39 1.0952  -1005.7735 -2640658.2269 0.3030
40 1.1003  -1005.7734 -2640657.9612 0.5688
41 1.1053  -1005.7732 -2640657.6163 0.9136
42 1.1103  -1005.7731 -2640657.2016 1.3283
43 1.1153  -1005.7729 -2640656.7094 1.8205
44 1.1203  -1005.7727 -2640656.1474 2.3825
45 1.1253  -1005.7724 -2640655.5662 2.9637
46 1.1303  -1005.7722 -2640654.8719 3.6581
47 1.1353  -1005.7719 -2640654.1082 4.4217
48 1.1403  -1005.7716 -2640653.2926 5.2373
49 1.1453  -1005.7712 -2640652.4113 6.1186
50 1.1503  -1005.7709 -2640651.4769 7.0531
51 1.1553  -1005.7705 -2640650.5782 7.9518
52 1.1603  -1005.7702 -2640649.5420 8.9879
53 1.1653  -1005.7697 -2640648.4528 10.0771
54 1.1703  -1005.7693 -2640647.3119 11.2180
55 1.1753  -1005.7689 -2640646.1197 12.4102
