0 0.9000  -1245.1346 -3269100.7881 86.2571
1 0.9050  -1245.1366 -3269106.2293 80.8159
2 0.9100  -1245.1386 -3269111.4420 75.6032
3 0.9150  -1245.1405 -3269116.4242 70.6210
4 0.9200  -1245.1423 -3269121.1857 65.8595
5 0.9250  -1245.1441 -3269125.7337 61.3116
6 0.9300  -1245.1457 -3269130.0725 56.9727
7 0.9350  -1245.1473 -3269134.2075 52.8377
8 0.9401  -1245.1488 -3269138.1445 48.9007
9 0.9451  -1245.1502 -3269141.8892 45.1560
10 0.9501  -1245.1516 -3269145.4470 41.5982
11 0.9551  -1245.1529 -3269148.8231 38.2221
12 0.9601  -1245.1541 -3269152.0228 35.0224
13 0.9651  -1245.1552 -3269155.0507 31.9945
14 0.9701  -1245.1563 -3269157.9119 29.1333
15 0.9751  -1245.1573 -3269160.6108 26.4344
16 0.9801  -1245.1583 -3269163.1522 23.8930
17 0.9851  -1245.1592 -3269165.5402 21.5050
18 0.9901  -1245.1601 -3269167.7794 19.2658
19 0.9951  -1245.1609 -3269169.8737 17.1715
20 1.0001  -1245.1616 -3269171.8276 15.2177
21 1.0051  -1245.1623 -3269173.6453 13.3999
22 1.0101  -1245.1630 -3269175.3301 11.7151
23 1.0151  -1245.1635 -3269176.8853 10.1599
24 1.0202  -1245.1641 -3269178.3153 8.7299
25 1.0252  -1245.1646 -3269179.6234 7.4218
26 1.0302  -1245.1650 -3269180.8151 6.2301
27 1.0352  -1245.1654 -3269181.8869 5.1583
28 1.0402  -1245.1658 -3269182.8498 4.1955
29 1.0452  -1245.1661 -3269183.7075 3.3377
30 1.0502  -1245.1664 -3269184.4610 2.5843
31 1.0552  -1245.1667 -3269185.1099 1.9354
32 1.0602  -1245.1669 -3269185.6588 1.3864
33 1.0652  -1245.1671 -3269186.1137 0.9315
34 1.0702  -1245.1672 -3269186.4739 0.5713
35 1.0752  -1245.1673 -3269186.7460 0.2992
36 1.0802  -1245.1674 -3269186.9288 0.1164
37 1.0852  -1245.1674 -3269187.0288 0.0164
38 1.0902  -1245.1674 -3269187.0452 0.0000
39 1.0952  -1245.1674 -3269186.9841 0.0611
40 1.1003  -1245.1673 -3269186.8443 0.2009
41 1.1053  -1245.1673 -3269186.6319 0.4133
42 1.1103  -1245.1671 -3269186.3459 0.6993
43 1.1153  -1245.1670 -3269185.9920 1.0532
44 1.1203  -1245.1669 -3269185.5694 1.4758
45 1.1253  -1245.1667 -3269185.0807 1.9645
46 1.1303  -1245.1665 -3269184.5338 2.5114
47 1.1353  -1245.1662 -3269183.9213 3.1239
48 1.1403  -1245.1660 -3269183.2507 3.7946
49 1.1453  -1245.1657 -3269182.5297 4.5155
50 1.1503  -1245.1654 -3269181.7483 5.2969
51 1.1553  -1245.1651 -3269180.9164 6.1288
52 1.1603  -1245.1647 -3269180.0391 7.0061
53 1.1653  -1245.1644 -3269179.1080 7.9372
54 1.1703  -1245.1640 -3269178.1348 8.9104
55 1.1753  -1245.1636 -3269177.1136 9.9316
56 1.1804  -1245.1632 -3269176.0537 10.9915
57 1.1854  -1245.1628 -3269174.9583 12.0870
58 1.1904  -1245.1624 -3269173.8198 13.2254
59 1.1954  -1245.1619 -3269172.6473 14.3979
60 1.2004  -1245.1615 -3269171.4409 15.6043
61 1.2054  -1245.1610 -3269170.2023 16.8429
62 1.2104  -1245.1605 -3269168.9343 18.1109
63 1.2154  -1245.1600 -3269167.6379 19.4073
64 1.2204  -1245.1595 -3269166.3157 20.7296
65 1.2254  -1245.1590 -3269164.9693 22.0760
