0 0.9000  -1506.9280 -3956439.3610 83.4884
1 0.9050  -1506.9300 -3956444.7492 78.1001
2 0.9100  -1506.9320 -3956449.9004 72.9489
3 0.9150  -1506.9339 -3956454.8294 68.0199
4 0.9200  -1506.9356 -3956459.5337 63.3156
5 0.9250  -1506.9374 -3956464.0193 58.8300
6 0.9300  -1506.9390 -3956468.3049 54.5444
7 0.9350  -1506.9405 -3956472.3804 50.4689
8 0.9401  -1506.9420 -3956476.2574 46.5919
9 0.9451  -1506.9434 -3956479.9451 42.9042
10 0.9501  -1506.9448 -3956483.4417 39.4077
11 0.9551  -1506.9460 -3956486.7500 36.0993
12 0.9601  -1506.9472 -3956489.8936 32.9557
13 0.9651  -1506.9483 -3956492.8573 29.9920
14 0.9701  -1506.9494 -3956495.6581 27.1912
15 0.9751  -1506.9504 -3956498.2908 24.5585
16 0.9801  -1506.9513 -3956500.7620 22.0873
17 0.9851  -1506.9522 -3956503.0844 19.7649
18 0.9901  -1506.9531 -3956505.2529 17.5964
19 0.9951  -1506.9538 -3956507.2799 15.5694
20 1.0001  -1506.9545 -3956509.1605 13.6889
21 1.0051  -1506.9552 -3956510.8963 11.9530
22 1.0101  -1506.9558 -3956512.5112 10.3382
23 1.0151  -1506.9564 -3956513.9880 8.8614
24 1.0202  -1506.9569 -3956515.3429 7.5064
25 1.0252  -1506.9574 -3956516.5694 6.2800
26 1.0302  -1506.9578 -3956517.6753 5.1741
27 1.0352  -1506.9582 -3956518.6678 4.1815
28 1.0402  -1506.9585 -3956519.5436 3.3058
29 1.0452  -1506.9588 -3956520.3112 2.5381
30 1.0502  -1506.9590 -3956520.9697 1.8796
31 1.0552  -1506.9593 -3956521.5294 1.3200
32 1.0602  -1506.9594 -3956521.9828 0.8666
33 1.0652  -1506.9596 -3956522.3342 0.5151
34 1.0702  -1506.9597 -3956522.5995 0.2499
35 1.0752  -1506.9597 -3956522.7665 0.0829
36 1.0802  -1506.9598 -3956522.8493 0.0000
37 1.0852  -1506.9598 -3956522.8392 0.0101
38 1.0902  -1506.9597 -3956522.7153 0.1341
39 1.0952  -1506.9597 -3956522.5678 0.2815
40 1.1003  -1506.9596 -3956522.3102 0.5391
41 1.1053  -1506.9594 -3956521.9797 0.8696
42 1.1103  -1506.9593 -3956521.5695 1.2798
43 1.1153  -1506.9591 -3956521.0792 1.7701
44 1.1203  -1506.9589 -3956520.5326 2.3167
45 1.1253  -1506.9586 -3956519.9135 2.9359
46 1.1303  -1506.9584 -3956519.2237 3.6256
47 1.1353  -1506.9581 -3956518.4668 4.3825
48 1.1403  -1506.9578 -3956517.6523 5.1971
49 1.1453  -1506.9574 -3956516.7753 6.0740
50 1.1503  -1506.9571 -3956515.8186 7.0308
51 1.1553  -1506.9567 -3956514.8451 8.0042
52 1.1603  -1506.9563 -3956513.8008 9.0486
53 1.1653  -1506.9559 -3956512.6981 10.1513
54 1.1703  -1506.9554 -3956511.5298 11.3195
55 1.1753  -1506.9550 -3956510.3387 12.5106
56 1.1804  -1506.9545 -3956509.0902 13.7591
57 1.1854  -1506.9540 -3956507.7904 15.0589
58 1.1904  -1506.9535 -3956506.4437 16.4057
59 1.1954  -1506.9530 -3956505.0572 17.7921
60 1.2004  -1506.9524 -3956503.6320 19.2173
61 1.2054  -1506.9519 -3956502.1609 20.6884
62 1.2104  -1506.9513 -3956500.6538 22.1955
63 1.2154  -1506.9507 -3956499.1057 23.7436
64 1.2204  -1506.9501 -3956497.5233 25.3260
65 1.2254  -1506.9495 -3956495.9107 26.9387
66 1.2304  -1506.9489 -3956494.2591 28.5902
67 1.2354  -1506.9482 -3956492.5776 30.2717
68 1.2404  -1506.9476 -3956490.8724 31.9770
69 1.2454  -1506.9469 -3956489.1311 33.7182
70 1.2504  -1506.9462 -3956487.3692 35.4801
71 1.2554  -1506.9456 -3956485.5742 37.2751
72 1.2605  -1506.9449 -3956483.7689 39.0804
73 1.2655  -1506.9442 -3956481.9180 40.9313
74 1.2705  -1506.9435 -3956480.0739 42.7754
75 1.2755  -1506.9428 -3956478.2214 44.6279
76 1.2805  -1506.9420 -3956476.3428 46.5065
77 1.2855  -1506.9414 -3956474.5698 48.2795
78 1.2905  -1506.9451 -3956484.4247 38.4246
79 1.2955  -1506.9447 -3956483.1878 39.6615
80 1.3005  -1506.9442 -3956481.9672 40.8822
81 1.3055  -1506.9437 -3956480.7528 42.0965
82 1.3105  -1506.9433 -3956479.5676 43.2817
83 1.3155  -1506.9428 -3956478.3964 44.4529
84 1.3205  -1506.9424 -3956477.2556 45.5938
85 1.3255  -1506.9420 -3956476.1308 46.7186
86 1.3305  -1506.9415 -3956475.0363 47.8130
87 1.3355  -1506.9411 -3956473.9597 48.8896
88 1.3406  -1506.9407 -3956472.9037 49.9456
89 1.3456  -1506.9403 -3956471.8820 50.9673
90 1.3506  -1506.9400 -3956470.8760 51.9734
91 1.3556  -1506.9396 -3956469.9017 52.9476
92 1.3606  -1506.9392 -3956468.9435 53.9058
93 1.3656  -1506.9389 -3956468.0068 54.8425
94 1.3706  -1506.9385 -3956467.0923 55.7570
