0 0.9000  -1440.2885 -3781477.4265 81.9550
1 0.9050  -1440.2905 -3781482.7750 76.6064
2 0.9100  -1440.2925 -3781487.8883 71.4932
3 0.9150  -1440.2943 -3781492.7557 66.6258
4 0.9200  -1440.2961 -3781497.4389 61.9426
5 0.9250  -1440.2978 -3781501.8863 57.4952
6 0.9300  -1440.2994 -3781506.1247 53.2568
7 0.9350  -1440.3010 -3781510.1602 49.2212
8 0.9401  -1440.3024 -3781513.9965 45.3850
9 0.9451  -1440.3038 -3781517.6409 41.7406
10 0.9501  -1440.3051 -3781521.0923 38.2891
11 0.9551  -1440.3064 -3781524.3696 35.0118
12 0.9601  -1440.3075 -3781527.4644 31.9170
13 0.9651  -1440.3087 -3781530.3888 28.9926
14 0.9701  -1440.3097 -3781533.1426 26.2389
15 0.9751  -1440.3107 -3781535.7342 23.6472
16 0.9801  -1440.3116 -3781538.1581 21.2234
17 0.9851  -1440.3125 -3781540.4453 18.9362
18 0.9901  -1440.3133 -3781542.5712 16.8102
19 0.9951  -1440.3141 -3781544.5512 14.8302
20 1.0001  -1440.3148 -3781546.3928 12.9886
21 1.0051  -1440.3154 -3781548.0929 11.2885
22 1.0101  -1440.3160 -3781549.6598 9.7217
23 1.0151  -1440.3165 -3781551.0923 8.2891
24 1.0202  -1440.3170 -3781552.4031 6.9784
25 1.0252  -1440.3175 -3781553.5865 5.7949
26 1.0302  -1440.3179 -3781554.6500 4.7314
27 1.0352  -1440.3183 -3781555.5991 3.7823
28 1.0402  -1440.3186 -3781556.4324 2.9491
29 1.0452  -1440.3189 -3781557.1564 2.2251
30 1.0502  -1440.3191 -3781557.7698 1.6117
31 1.0552  -1440.3193 -3781558.2829 1.0986
32 1.0602  -1440.3194 -3781558.6958 0.6857
33 1.0652  -1440.3196 -3781559.0076 0.3738
34 1.0702  -1440.3196 -3781559.2246 0.1569
35 1.0752  -1440.3197 -3781559.3448 0.0367
36 1.0802  -1440.3197 -3781559.3815 0.0000
37 1.0852  -1440.3197 -3781559.3299 0.0516
38 1.0902  -1440.3196 -3781559.1839 0.1976
39 1.0952  -1440.3195 -3781558.9727 0.4087
40 1.1003  -1440.3194 -3781558.6711 0.7103
41 1.1053  -1440.3193 -3781558.2900 1.0914
42 1.1103  -1440.3192 -3781557.9978 1.3836
43 1.1153  -1440.3190 -3781557.4817 1.8997
44 1.1203  -1440.3188 -3781556.8947 2.4867
45 1.1253  -1440.3185 -3781556.2410 3.1405
46 1.1303  -1440.3182 -3781555.5187 3.8627
47 1.1353  -1440.3179 -3781554.7347 4.6468
48 1.1403  -1440.3176 -3781553.8841 5.4974
49 1.1453  -1440.3173 -3781552.9671 6.4144
50 1.1503  -1440.3169 -3781552.0100 7.3715
51 1.1553  -1440.3165 -3781550.9815 8.4000
52 1.1603  -1440.3161 -3781549.8980 9.4834
53 1.1653  -1440.3156 -3781548.7076 10.6739
54 1.1703  -1440.3152 -3781547.5816 11.7999
55 1.1753  -1440.3147 -3781546.3183 13.0631
56 1.1804  -1440.3143 -3781545.1881 14.1934
57 1.1854  -1440.3138 -3781543.8554 15.5260
58 1.1904  -1440.3133 -3781542.4948 16.8867
59 1.1954  -1440.3127 -3781541.0774 18.3040
60 1.2004  -1440.3122 -3781539.6089 19.7726
61 1.2054  -1440.3116 -3781538.1202 21.2613
62 1.2104  -1440.3110 -3781536.5786 22.8028
63 1.2154  -1440.3104 -3781535.0461 24.3354
64 1.2204  -1440.3098 -3781533.4321 25.9493
65 1.2254  -1440.3092 -3781531.7756 27.6059
66 1.2304  -1440.3085 -3781530.0939 29.2875
67 1.2354  -1440.3079 -3781528.3733 31.0082
68 1.2404  -1440.3072 -3781526.6206 32.7609
69 1.2454  -1440.3065 -3781524.8352 34.5463
70 1.2504  -1440.3059 -3781523.0203 36.3611
71 1.2554  -1440.3051 -3781521.1116 38.2698
72 1.2605  -1440.3044 -3781519.3108 40.0706
73 1.2655  -1440.3037 -3781517.3984 41.9831
