0 0.9000  -340.8147 -894808.9126 85.3467
1 0.9050  -340.8167 -894814.3632 79.8962
2 0.9100  -340.8187 -894819.5789 74.6804
3 0.9150  -340.8206 -894824.5664 69.6929
4 0.9200  -340.8224 -894829.3319 64.9275
5 0.9250  -340.8242 -894833.8813 60.3781
6 0.9300  -340.8258 -894838.2205 56.0388
7 0.9350  -340.8274 -894842.3553 51.9040
8 0.9401  -340.8289 -894846.2913 47.9681
9 0.9451  -340.8303 -894850.0337 44.2256
10 0.9501  -340.8317 -894853.5879 40.6714
11 0.9551  -340.8330 -894856.9590 37.3003
12 0.9601  -340.8342 -894860.1519 34.1074
13 0.9651  -340.8353 -894863.1715 31.0878
14 0.9701  -340.8364 -894866.0225 28.2368
15 0.9751  -340.8374 -894868.7095 25.5498
16 0.9801  -340.8384 -894871.2369 23.0224
17 0.9851  -340.8393 -894873.6091 20.6502
18 0.9901  -340.8402 -894875.8304 18.4289
19 0.9951  -340.8409 -894877.9048 16.3546
20 1.0001  -340.8417 -894879.8363 14.4230
21 1.0051  -340.8424 -894881.6290 12.6304
22 1.0101  -340.8430 -894883.2865 10.9728
23 1.0151  -340.8436 -894884.8127 9.4466
24 1.0202  -340.8441 -894886.2111 8.0482
25 1.0252  -340.8446 -894887.4854 6.7740
26 1.0302  -340.8450 -894888.6388 5.6205
27 1.0352  -340.8454 -894889.6749 4.5844
28 1.0402  -340.8458 -894890.5969 3.6625
29 1.0452  -340.8461 -894891.4079 2.8515
30 1.0502  -340.8464 -894892.1111 2.1482
31 1.0552  -340.8466 -894892.7095 1.5498
32 1.0602  -340.8468 -894893.2061 1.0533
33 1.0652  -340.8469 -894893.6037 0.6557
34 1.0702  -340.8470 -894893.9051 0.3542
35 1.0752  -340.8471 -894894.1131 0.1462
36 1.0802  -340.8472 -894894.2303 0.0290
37 1.0852  -340.8472 -894894.2593 0.0000
38 1.0902  -340.8472 -894894.2027 0.0567
39 1.0952  -340.8471 -894894.0628 0.1966
40 1.1003  -340.8470 -894893.8420 0.4173
41 1.1053  -340.8469 -894893.5427 0.7167
42 1.1103  -340.8468 -894893.1671 1.0922
43 1.1153  -340.8466 -894892.7174 1.5419
44 1.1203  -340.8464 -894892.1958 2.0635
45 1.1253  -340.8462 -894891.6044 2.6550
46 1.1303  -340.8459 -894890.9451 3.3142
47 1.1353  -340.8456 -894890.2200 4.0394
48 1.1403  -340.8453 -894889.4309 4.8284
49 1.1453  -340.8450 -894888.5798 5.6795
50 1.1503  -340.8447 -894887.6685 6.5908
51 1.1553  -340.8443 -894886.6988 7.5606
52 1.1603  -340.8439 -894885.6723 8.5870
53 1.1653  -340.8435 -894884.5908 9.6685
54 1.1703  -340.8431 -894883.4560 10.8034
55 1.1753  -340.8426 -894882.2694 11.9899
56 1.1804  -340.8421 -894881.0326 13.2267
57 1.1854  -340.8416 -894879.7472 14.5122
58 1.1904  -340.8411 -894878.4146 15.8448
59 1.1954  -340.8406 -894877.0362 17.2231
60 1.2004  -340.8401 -894875.6136 18.6457
61 1.2054  -340.8395 -894874.1481 20.1113
62 1.2104  -340.8389 -894872.6409 21.6184
63 1.2154  -340.8384 -894871.0935 23.1658
64 1.2204  -340.8377 -894869.5071 24.7522
65 1.2254  -340.8371 -894867.8830 26.3763
66 1.2304  -340.8365 -894866.2223 28.0370
67 1.2354  -340.8359 -894864.5264 29.7330
68 1.2404  -340.8352 -894862.7962 31.4632
69 1.2454  -340.8345 -894861.0329 33.2264
70 1.2504  -340.8338 -894859.2377 35.0216
71 1.2554  -340.8331 -894857.4116 36.8477
72 1.2605  -340.8324 -894855.5556 38.7037
73 1.2655  -340.8317 -894853.6708 40.5885
74 1.2705  -340.8310 -894851.7581 42.5012
75 1.2755  -340.8302 -894849.8185 44.4408
76 1.2805  -340.8295 -894847.8530 46.4063
77 1.2855  -340.8287 -894845.8624 48.3969
78 1.2905  -340.8280 -894843.8476 50.4117
79 1.2955  -340.8272 -894841.8095 52.4498
80 1.3005  -340.8264 -894839.7490 54.5103
81 1.3055  -340.8256 -894837.6668 56.5925
82 1.3105  -340.8248 -894835.5638 58.6955
83 1.3155  -340.8240 -894833.4407 60.8186
84 1.3205  -340.8232 -894831.2983 62.9610
85 1.3255  -340.8224 -894829.1373 65.1220
86 1.3305  -340.8215 -894826.9585 67.3008
87 1.3355  -340.8207 -894824.7626 69.4968
88 1.3406  -340.8199 -894822.5501 71.7092
89 1.3456  -340.8190 -894820.3219 73.9375
90 1.3506  -340.8182 -894818.0784 76.1809
91 1.3556  -340.8173 -894815.8205 78.4388
92 1.3606  -340.8164 -894813.5487 80.7106
93 1.3656  -340.8156 -894811.2636 82.9957
94 1.3706  -340.8147 -894808.9658 85.2936
95 1.3756  -340.8138 -894806.6558 87.6035
96 1.3806  -340.8129 -894804.3343 89.9251
97 1.3856  -340.8120 -894802.0017 92.2576
98 1.3906  -340.8111 -894799.6586 94.6007
99 1.3956  -340.8102 -894797.3056 96.9537
100 1.4006  -340.8093 -894794.9431 99.3162
101 1.4056  -340.8084 -894792.5716 101.6877
102 1.4106  -340.8075 -894790.1917 104.0677
103 1.4156  -340.8066 -894787.8037 106.4556
104 1.4207  -340.8057 -894785.4082 108.8511
105 1.4257  -340.8048 -894783.0056 111.2538
106 1.4307  -340.8039 -894780.5963 113.6630
107 1.4357  -340.8030 -894778.1808 116.0785
108 1.4407  -340.8020 -894775.7595 118.4999
109 1.4457  -340.8011 -894773.3327 120.9266
110 1.4507  -340.8002 -894770.9010 123.3583
111 1.4557  -340.7993 -894768.4647 125.7947
112 1.4607  -340.7983 -894766.0241 128.2352
113 1.4657  -340.7974 -894763.5796 130.6797
114 1.4707  -340.7965 -894761.1316 133.1277
115 1.4757  -340.7955 -894758.6805 135.5789
116 1.4807  -340.7946 -894756.2265 138.0328
