0 0.9000  -765.4623 -2009721.1793 89.6199
1 0.9050  -765.4643 -2009726.5772 84.2220
2 0.9100  -765.4663 -2009731.7404 79.0588
3 0.9150  -765.4682 -2009736.6754 74.1239
4 0.9200  -765.4700 -2009741.3885 69.4107
5 0.9250  -765.4717 -2009745.8857 64.9135
6 0.9300  -765.4733 -2009750.1731 60.6261
7 0.9350  -765.4749 -2009754.2564 56.5428
8 0.9401  -765.4763 -2009758.1412 52.6580
9 0.9451  -765.4778 -2009761.8329 48.9663
10 0.9501  -765.4791 -2009765.3368 45.4624
11 0.9551  -765.4803 -2009768.6580 42.1412
12 0.9601  -765.4815 -2009771.8016 38.9977
13 0.9651  -765.4827 -2009774.7723 36.0269
14 0.9701  -765.4837 -2009777.5750 33.2243
15 0.9751  -765.4848 -2009780.2142 30.5851
16 0.9801  -765.4857 -2009782.6961 28.1031
17 0.9851  -765.4866 -2009785.0226 25.7767
18 0.9901  -765.4874 -2009787.1979 23.6013
19 0.9951  -765.4882 -2009789.2270 21.5722
20 1.0001  -765.4889 -2009791.1140 19.6852
21 1.0051  -765.4896 -2009792.8628 17.9364
22 1.0101  -765.4902 -2009794.4793 16.3200
23 1.0151  -765.4908 -2009795.9647 14.8345
24 1.0202  -765.4913 -2009797.3223 13.4769
25 1.0252  -765.4917 -2009798.5565 12.2428
26 1.0302  -765.4922 -2009799.6741 11.1251
27 1.0352  -765.4925 -2009800.6740 10.1252
28 1.0402  -765.4929 -2009801.5603 9.2389
29 1.0452  -765.4932 -2009802.3363 8.4629
30 1.0502  -765.4934 -2009803.0056 7.7937
31 1.0552  -765.4936 -2009803.5713 7.2279
32 1.0602  -765.4938 -2009804.0364 6.7629
33 1.0652  -765.4940 -2009804.4037 6.3955
34 1.0702  -765.4941 -2009804.6760 6.1232
35 1.0752  -765.4941 -2009804.8569 5.9424
36 1.0802  -765.4942 -2009804.9476 5.8516
37 1.0852  -765.4964 -2009810.7992 0.0000
38 1.0902  -765.4964 -2009810.7837 0.0155
39 1.0952  -765.4964 -2009810.6876 0.1116
