0 0.9000  -867.2079 -2276854.3571 92.8505
1 0.9050  -867.2100 -2276859.8520 87.3557
2 0.9100  -867.2120 -2276865.1149 82.0927
3 0.9150  -867.2139 -2276870.1526 77.0550
4 0.9200  -867.2158 -2276874.9713 72.2363
5 0.9250  -867.2175 -2276879.5772 67.6304
6 0.9300  -867.2192 -2276883.9760 63.2316
7 0.9350  -867.2208 -2276888.1737 59.0339
8 0.9401  -867.2223 -2276892.1757 55.0319
9 0.9451  -867.2238 -2276895.9876 51.2200
10 0.9501  -867.2251 -2276899.6146 47.5930
11 0.9551  -867.2265 -2276903.0620 44.1457
12 0.9601  -867.2277 -2276906.3347 40.8729
13 0.9651  -867.2289 -2276909.4377 37.7699
14 0.9701  -867.2300 -2276912.3757 34.8319
15 0.9751  -867.2311 -2276915.1551 32.0526
16 0.9801  -867.2321 -2276917.7783 29.4293
17 0.9851  -867.2330 -2276920.2500 26.9576
18 0.9901  -867.2339 -2276922.5748 24.6328
19 0.9951  -867.2347 -2276924.7567 22.4509
20 1.0001  -867.2355 -2276926.8000 20.4076
21 1.0051  -867.2362 -2276928.7087 18.4990
22 1.0101  -867.2369 -2276930.4866 16.7210
23 1.0151  -867.2375 -2276932.1376 15.0700
24 1.0202  -867.2381 -2276933.6654 13.5422
25 1.0252  -867.2386 -2276935.0737 12.1339
26 1.0302  -867.2391 -2276936.3660 10.8416
27 1.0352  -867.2396 -2276937.5458 9.6618
28 1.0402  -867.2400 -2276938.6165 8.5911
29 1.0452  -867.2404 -2276939.5814 7.6262
30 1.0502  -867.2407 -2276940.4437 6.7639
31 1.0552  -867.2410 -2276941.2067 6.0009
32 1.0602  -867.2412 -2276941.8734 5.3342
33 1.0652  -867.2415 -2276942.4469 4.7607
34 1.0702  -867.2416 -2276942.9302 4.2774
35 1.0752  -867.2418 -2276943.3263 3.8814
36 1.0802  -867.2419 -2276943.6381 3.5695
37 1.0852  -867.2420 -2276943.8690 3.3387
38 1.0902  -867.2433 -2276947.2076 0.0000
39 1.0952  -867.2432 -2276947.1174 0.0902
40 1.1003  -867.2432 -2276946.9505 0.2571
41 1.1053  -867.2431 -2276946.7090 0.4986
42 1.1103  -867.2430 -2276946.3938 0.8138
43 1.1153  -867.2428 -2276946.0082 1.1994
44 1.1203  -867.2426 -2276945.5530 1.6546
45 1.1253  -867.2425 -2276945.0550 2.1526
46 1.1303  -867.2422 -2276944.4816 2.7261
47 1.1353  -867.2420 -2276943.8467 3.3609
48 1.1403  -867.2417 -2276943.1514 4.0562
49 1.1453  -867.2415 -2276942.4282 4.7794
50 1.1503  -867.2412 -2276941.6394 5.5683
51 1.1553  -867.2408 -2276940.7971 6.4105
52 1.1603  -867.2405 -2276939.9539 7.2537
53 1.1653  -867.2402 -2276939.0517 8.1559
54 1.1703  -867.2398 -2276938.1522 9.0554
55 1.1753  -867.2395 -2276937.2101 9.9975
56 1.1804  -867.2391 -2276936.2673 10.9403
57 1.1854  -867.2387 -2276935.2729 11.9348
58 1.1904  -867.2383 -2276934.2400 12.9677
59 1.1954  -867.2380 -2276933.2965 13.9111
60 1.2004  -867.2376 -2276932.2414 14.9662
61 1.2054  -867.2372 -2276931.1569 16.0507
62 1.2104  -867.2368 -2276930.0890 17.1186
63 1.2154  -867.2363 -2276928.9688 18.2388
64 1.2204  -867.2359 -2276927.8255 19.3821
65 1.2254  -867.2354 -2276926.6636 20.5440
66 1.2304  -867.2350 -2276925.5221 21.6855
67 1.2354  -867.2346 -2276924.3398 22.8678
68 1.2404  -867.2341 -2276923.1467 24.0609
69 1.2454  -867.2336 -2276921.9408 25.2668
70 1.2504  -867.2332 -2276920.7239 26.4837
71 1.2554  -867.2327 -2276919.5003 27.7073
72 1.2605  -867.2322 -2276918.2721 28.9355
73 1.2655  -867.2318 -2276917.0408 30.1668
74 1.2705  -867.2313 -2276915.8137 31.3939
75 1.2755  -867.2308 -2276914.5811 32.6266
76 1.2805  -867.2304 -2276913.3506 33.8570
77 1.2855  -867.2299 -2276912.1324 35.0752
78 1.2905  -867.2295 -2276910.9210 36.2866
79 1.2955  -867.2290 -2276909.7558 37.4518
80 1.3005  -867.2286 -2276908.5597 38.6480
81 1.3055  -867.2281 -2276907.3784 39.8292
82 1.3105  -867.2277 -2276906.2099 40.9977
83 1.3155  -867.2272 -2276905.0569 42.1507
84 1.3205  -867.2268 -2276903.9220 43.2856
85 1.3255  -867.2264 -2276902.8037 44.4040
86 1.3305  -867.2259 -2276901.7115 45.4961
87 1.3355  -867.2255 -2276900.6401 46.5675
88 1.3406  -867.2251 -2276899.5922 47.6155
89 1.3456  -867.2247 -2276898.5707 48.6369
90 1.3506  -867.2244 -2276897.5751 49.6326
91 1.3556  -867.2240 -2276896.6082 50.5994
92 1.3606  -867.2237 -2276895.8331 51.3745
93 1.3656  -867.2234 -2276894.9461 52.2615
94 1.3706  -867.2231 -2276894.2948 52.9128
95 1.3756  -867.2228 -2276893.5103 53.6973
96 1.3806  -867.2225 -2276892.7807 54.4269
97 1.3856  -867.2223 -2276892.1083 55.0993
98 1.3906  -867.2235 -2276895.2770 51.9306
99 1.3956  -867.2233 -2276894.6530 52.5547
100 1.4006  -867.2230 -2276894.0565 53.1511
101 1.4056  -867.2228 -2276893.4864 53.7212
102 1.4106  -867.2226 -2276892.9422 54.2655
103 1.4156  -867.2224 -2276892.4227 54.7849
104 1.4207  -867.2222 -2276891.9271 55.2805
105 1.4257  -867.2220 -2276891.4535 55.7541
106 1.4307  -867.2219 -2276891.0036 56.2041
107 1.4357  -867.2217 -2276890.5728 56.6348
108 1.4407  -867.2215 -2276890.1618 57.0458
109 1.4457  -867.2214 -2276889.7695 57.4381
110 1.4507  -867.2213 -2276889.3944 57.8132
111 1.4557  -867.2211 -2276889.0357 58.1719
112 1.4607  -867.2210 -2276888.6930 58.5146
113 1.4657  -867.2209 -2276888.3641 58.8435
114 1.4707  -867.2207 -2276888.0484 59.1592
115 1.4757  -867.2206 -2276887.7452 59.4624
116 1.4807  -867.2205 -2276887.4541 59.7535
117 1.4857  -867.2204 -2276887.1719 60.0357
118 1.4907  -867.2203 -2276886.9017 60.3059
119 1.4957  -867.2202 -2276886.6391 60.5686
120 1.5008  -867.2201 -2276886.3867 60.8209
121 1.5058  -867.2200 -2276886.1405 61.0671
122 1.5108  -867.2199 -2276885.9032 61.3044
123 1.5158  -867.2198 -2276885.6709 61.5367
124 1.5208  -867.2197 -2276885.4450 61.7626
125 1.5258  -867.2197 -2276885.2247 61.9830
126 1.5308  -867.2196 -2276885.0093 62.1983
127 1.5358  -867.2195 -2276884.7987 62.4089
128 1.5408  -867.2194 -2276884.5922 62.6154
129 1.5458  -867.2193 -2276884.3895 62.8181
130 1.5508  -867.2193 -2276884.1901 63.0176
131 1.5558  -867.2192 -2276883.9936 63.2140
132 1.5608  -867.2191 -2276883.7998 63.4078
133 1.5658  -867.2190 -2276883.6082 63.5994
134 1.5708  -867.2190 -2276883.4187 63.7889
135 1.5758  -867.2189 -2276883.2308 63.9768
136 1.5809  -867.2188 -2276883.0444 64.1632
137 1.5859  -867.2188 -2276882.8592 64.3484
138 1.5909  -867.2187 -2276882.6750 64.5326
139 1.5959  -867.2186 -2276882.4915 64.7161
140 1.6009  -867.2186 -2276882.3086 64.8990
141 1.6059  -867.2185 -2276882.1260 65.0816
142 1.6109  -867.2184 -2276881.9436 65.2640
143 1.6159  -867.2183 -2276881.7613 65.4463
144 1.6209  -867.2183 -2276881.5788 65.6288
145 1.6259  -867.2182 -2276881.3960 65.8116
146 1.6309  -867.2181 -2276881.2127 65.9949
147 1.6359  -867.2181 -2276881.0289 66.1787
148 1.6409  -867.2180 -2276880.8444 66.3632
149 1.6459  -867.2179 -2276880.6591 66.5485
150 1.6509  -867.2179 -2276880.4729 66.7347
151 1.6559  -867.2178 -2276880.2856 66.9220
