0 0.9000  -801.2533 -2103690.4156 83.7490
1 0.9050  -801.2553 -2103695.8055 78.3592
2 0.9100  -801.2573 -2103700.9618 73.2028
3 0.9150  -801.2591 -2103705.8903 68.2743
4 0.9200  -801.2609 -2103710.5980 63.5666
5 0.9250  -801.2627 -2103715.0902 59.0744
6 0.9300  -801.2643 -2103719.3735 54.7911
7 0.9350  -801.2658 -2103723.4529 50.7117
8 0.9401  -801.2673 -2103727.3346 46.8300
9 0.9451  -801.2687 -2103731.0234 43.1412
10 0.9501  -801.2701 -2103734.5252 39.6394
11 0.9551  -801.2713 -2103737.8445 36.3201
12 0.9601  -801.2725 -2103740.9868 33.1778
13 0.9651  -801.2736 -2103743.9566 30.2080
14 0.9701  -801.2747 -2103746.7589 27.4057
15 0.9751  -801.2757 -2103749.3979 24.7667
16 0.9801  -801.2767 -2103751.8785 22.2861
17 0.9851  -801.2775 -2103754.2048 19.9598
18 0.9901  -801.2784 -2103756.3812 17.7834
19 0.9951  -801.2792 -2103758.4116 15.7530
20 1.0001  -801.2799 -2103760.3004 13.8642
21 1.0051  -801.2805 -2103762.0511 12.1135
22 1.0101  -801.2812 -2103763.6679 10.4967
23 1.0151  -801.2817 -2103765.1543 9.0103
24 1.0202  -801.2822 -2103766.5141 7.6505
25 1.0252  -801.2827 -2103767.7507 6.4139
26 1.0302  -801.2831 -2103768.8677 5.2969
27 1.0352  -801.2835 -2103769.8683 4.2963
28 1.0402  -801.2839 -2103770.7561 3.4086
29 1.0452  -801.2841 -2103771.5338 2.6308
30 1.0502  -801.2844 -2103772.2051 1.9595
31 1.0552  -801.2846 -2103772.7726 1.3920
32 1.0602  -801.2848 -2103773.2396 0.9250
33 1.0652  -801.2849 -2103773.6086 0.5560
34 1.0702  -801.2850 -2103773.8829 0.2817
35 1.0752  -801.2851 -2103774.0648 0.0998
36 1.0802  -801.2851 -2103774.1574 0.0072
37 1.0852  -801.2852 -2103774.1646 0.0000
38 1.0902  -801.2851 -2103774.0855 0.0791
39 1.0952  -801.2851 -2103773.9250 0.2397
40 1.1003  -801.2850 -2103773.6842 0.4804
41 1.1053  -801.2848 -2103773.3672 0.7974
42 1.1103  -801.2847 -2103772.9757 1.1889
43 1.1153  -801.2845 -2103772.5108 1.6538
44 1.1203  -801.2843 -2103771.9755 2.1891
45 1.1253  -801.2841 -2103771.3719 2.7927
