0 0.9000  -1040.6512 -2732229.7496 83.9921
1 0.9050  -1040.6533 -2732235.1556 78.5862
2 0.9100  -1040.6552 -2732240.3267 73.4150
3 0.9150  -1040.6571 -2732245.2697 68.4720
4 0.9200  -1040.6589 -2732249.9908 63.7509
5 0.9250  -1040.6606 -2732254.4961 59.2456
6 0.9300  -1040.6623 -2732258.7915 54.9502
7 0.9350  -1040.6638 -2732262.8827 50.8591
8 0.9401  -1040.6653 -2732266.7752 46.9665
9 0.9451  -1040.6667 -2732270.4745 43.2672
10 0.9501  -1040.6681 -2732273.9858 39.7559
11 0.9551  -1040.6693 -2732277.3143 36.4275
12 0.9601  -1040.6705 -2732280.4649 33.2769
13 0.9651  -1040.6717 -2732283.4424 30.2993
14 0.9701  -1040.6727 -2732286.2584 27.4834
15 0.9751  -1040.6737 -2732288.9063 24.8355
16 0.9801  -1040.6747 -2732291.3936 22.3481
17 0.9851  -1040.6756 -2732293.7258 20.0159
18 0.9901  -1040.6764 -2732295.9072 17.8345
19 0.9951  -1040.6772 -2732297.9421 15.7997
20 1.0001  -1040.6779 -2732299.8345 13.9073
21 1.0051  -1040.6786 -2732301.5883 12.1534
22 1.0101  -1040.6792 -2732303.2076 10.5342
23 1.0151  -1040.6798 -2732304.6959 9.0459
24 1.0202  -1040.6803 -2732306.0569 7.6848
25 1.0252  -1040.6807 -2732307.2942 6.4475
26 1.0302  -1040.6812 -2732308.4114 5.3304
27 1.0352  -1040.6816 -2732309.4116 4.3301
28 1.0402  -1040.6819 -2732310.2983 3.4434
29 1.0452  -1040.6822 -2732311.0747 2.6670
30 1.0502  -1040.6824 -2732311.7439 1.9978
31 1.0552  -1040.6827 -2732312.3090 1.4327
32 1.0602  -1040.6829 -2732312.8293 0.9124
33 1.0652  -1040.6830 -2732313.1980 0.5437
34 1.0702  -1040.6831 -2732313.4707 0.2711
35 1.0752  -1040.6832 -2732313.6504 0.0914
36 1.0802  -1040.6832 -2732313.7398 0.0019
37 1.0852  -1040.6832 -2732313.7417 0.0000
38 1.0902  -1040.6832 -2732313.6606 0.0812
39 1.0952  -1040.6831 -2732313.4960 0.2457
40 1.1003  -1040.6830 -2732313.2506 0.4911
41 1.1053  -1040.6829 -2732312.9275 0.8142
42 1.1103  -1040.6827 -2732312.5357 1.2060
43 1.1153  -1040.6826 -2732312.0668 1.6749
44 1.1203  -1040.6824 -2732311.5252 2.2166
45 1.1253  -1040.6821 -2732310.9144 2.8273
46 1.1303  -1040.6819 -2732310.2996 3.4421
