0 0.9000  -1302.4420 -3419561.3513 86.8103
1 0.9050  -1302.4440 -3419566.7817 81.3799
2 0.9100  -1302.4460 -3419571.9775 76.1841
3 0.9150  -1302.4479 -3419576.9452 71.2163
4 0.9200  -1302.4497 -3419581.6913 66.4703
5 0.9250  -1302.4514 -3419586.2216 61.9399
6 0.9300  -1302.4531 -3419590.5422 57.6194
7 0.9350  -1302.4546 -3419594.6587 53.5029
8 0.9401  -1302.4561 -3419598.5766 49.5849
9 0.9451  -1302.4576 -3419602.3015 45.8600
10 0.9501  -1302.4589 -3419605.8386 42.3230
11 0.9551  -1302.4602 -3419609.1930 38.9686
12 0.9601  -1302.4614 -3419612.3696 35.7919
13 0.9651  -1302.4625 -3419615.3734 32.7881
14 0.9701  -1302.4636 -3419618.2092 29.9524
15 0.9751  -1302.4646 -3419620.8814 27.2802
16 0.9801  -1302.4656 -3419623.3946 24.7669
17 0.9851  -1302.4665 -3419625.7532 22.4083
18 0.9901  -1302.4673 -3419627.9615 20.2000
19 0.9951  -1302.4681 -3419630.0236 18.1380
20 1.0001  -1302.4689 -3419631.9838 16.1778
21 1.0051  -1302.4695 -3419633.7693 14.3923
22 1.0101  -1302.4702 -3419635.4197 12.7419
23 1.0151  -1302.4707 -3419636.9401 11.2214
24 1.0202  -1302.4713 -3419638.3330 9.8285
25 1.0252  -1302.4718 -3419639.6024 8.5592
26 1.0302  -1302.4722 -3419640.7551 7.4065
27 1.0352  -1302.4726 -3419641.7898 6.3717
28 1.0402  -1302.4729 -3419642.7108 5.4507
29 1.0452  -1302.4733 -3419643.5457 4.6158
30 1.0502  -1302.4735 -3419644.2540 3.9076
31 1.0552  -1302.4738 -3419644.8581 3.3034
32 1.0602  -1302.4740 -3419645.3623 2.7992
33 1.0652  -1302.4741 -3419645.7677 2.3938
34 1.0702  -1302.4742 -3419646.0781 2.0835
35 1.0752  -1302.4743 -3419646.2995 1.8620
36 1.0802  -1302.4744 -3419646.4296 1.7319
37 1.0852  -1302.4744 -3419646.4722 1.6893
38 1.0902  -1302.4745 -3419646.6895 1.4721
39 1.0952  -1302.4750 -3419648.1615 0.0000
40 1.1003  -1302.4750 -3419647.9998 0.1618
41 1.1053  -1302.4749 -3419647.7593 0.4022
42 1.1103  -1302.4747 -3419647.4449 0.7166
43 1.1153  -1302.4746 -3419647.0595 1.1020
44 1.1203  -1302.4744 -3419646.6057 1.5558
45 1.1253  -1302.4742 -3419646.0858 2.0758
46 1.1303  -1302.4740 -3419645.5021 2.6595
47 1.1353  -1302.4738 -3419644.8568 3.3047
48 1.1403  -1302.4735 -3419644.1556 4.0060
49 1.1453  -1302.4732 -3419643.3948 4.7667
50 1.1503  -1302.4729 -3419642.5778 5.5838
51 1.1553  -1302.4726 -3419641.7078 6.4538
52 1.1603  -1302.4722 -3419640.7907 7.3708
53 1.1653  -1302.4718 -3419639.8236 8.3380
54 1.1703  -1302.4715 -3419638.8105 9.3511
55 1.1753  -1302.4711 -3419637.7499 10.4117
56 1.1804  -1302.4706 -3419636.6554 11.5061
57 1.1854  -1302.4702 -3419635.5161 12.6455
58 1.1904  -1302.4698 -3419634.3462 13.8154
59 1.1954  -1302.4693 -3419633.1402 15.0213
60 1.2004  -1302.4688 -3419631.9027 16.2588
61 1.2054  -1302.4686 -3419631.2503 16.9112
62 1.2104  -1302.4682 -3419630.1344 18.0272
63 1.2154  -1302.4677 -3419628.9941 19.1675
64 1.2204  -1302.4693 -3419633.0933 15.0682
65 1.2254  -1302.4688 -3419631.7495 16.4121
66 1.2304  -1302.4682 -3419630.3834 17.7782
67 1.2354  -1302.4677 -3419628.9965 19.1651
68 1.2404  -1302.4672 -3419627.5847 20.5769
69 1.2454  -1302.4666 -3419626.1781 21.9835
70 1.2504  -1302.4661 -3419624.7349 23.4267
71 1.2554  -1302.4656 -3419623.3088 24.8527
72 1.2605  -1302.4650 -3419621.8509 26.3106
73 1.2655  -1302.4644 -3419620.3788 27.7828
74 1.2705  -1302.4639 -3419618.9598 29.2018
75 1.2755  -1302.4633 -3419617.4988 30.6627
76 1.2805  -1302.4628 -3419616.0493 32.1122
77 1.2855  -1302.4622 -3419614.5952 33.5664
78 1.2905  -1302.4617 -3419613.1469 35.0146
79 1.2955  -1302.4611 -3419611.6999 36.4616
80 1.3005  -1302.4606 -3419610.2759 37.8857
81 1.3055  -1302.4600 -3419608.8557 39.3058
82 1.3105  -1302.4595 -3419607.4532 40.7083
83 1.3155  -1302.4590 -3419606.0636 42.0979
84 1.3205  -1302.4585 -3419604.6964 43.4652
85 1.3255  -1302.4579 -3419603.3427 44.8188
86 1.3305  -1302.4574 -3419602.0169 46.1447
87 1.3355  -1302.4570 -3419600.7273 47.4342
88 1.3406  -1302.4565 -3419599.4569 48.7046
89 1.3456  -1302.4560 -3419598.2021 49.9595
90 1.3506  -1302.4555 -3419596.9756 51.1859
91 1.3556  -1302.4551 -3419595.7673 52.3942
92 1.3606  -1302.4546 -3419594.6374 53.5242
93 1.3656  -1302.4542 -3419593.4895 54.6720
94 1.3706  -1302.4538 -3419592.3625 55.7990
95 1.3756  -1302.4533 -3419591.2577 56.9039
96 1.3806  -1302.4529 -3419590.1747 57.9869
97 1.3856  -1302.4525 -3419589.1148 59.0468
98 1.3906  -1302.4521 -3419588.0694 60.0922
99 1.3956  -1302.4517 -3419587.0530 61.1085
100 1.4006  -1302.4514 -3419586.0606 62.1010
101 1.4056  -1302.4510 -3419585.0796 63.0820
102 1.4106  -1302.4506 -3419584.1261 64.0354
103 1.4156  -1302.4503 -3419583.1933 64.9682
104 1.4207  -1302.4499 -3419582.2764 65.8852
105 1.4257  -1302.4496 -3419581.3799 66.7817
106 1.4307  -1302.4493 -3419580.5067 67.6548
107 1.4357  -1302.4489 -3419579.6507 68.5108
108 1.4407  -1302.4486 -3419578.8111 69.3504
109 1.4457  -1302.4483 -3419577.9898 70.1718
110 1.4507  -1302.4480 -3419577.1866 70.9749
111 1.4557  -1302.4477 -3419576.4008 71.7607
112 1.4607  -1302.4474 -3419575.6324 72.5291
113 1.4657  -1302.4471 -3419574.8803 73.2813
114 1.4707  -1302.4468 -3419574.1444 74.0171
115 1.4757  -1302.4466 -3419573.4241 74.7374
116 1.4807  -1302.4463 -3419572.7190 75.4426
117 1.4857  -1302.4460 -3419572.0285 76.1331
118 1.4907  -1302.4458 -3419571.3520 76.8095
119 1.4957  -1302.4455 -3419570.6894 77.4721
120 1.5008  -1302.4453 -3419570.0399 78.1217
121 1.5058  -1302.4450 -3419569.4033 78.7583
122 1.5108  -1302.4448 -3419568.7788 79.3828
123 1.5158  -1302.4446 -3419568.1663 79.9952
124 1.5208  -1302.4443 -3419567.5651 80.5964
125 1.5258  -1302.4441 -3419566.9750 81.1865
126 1.5308  -1302.4439 -3419566.3953 81.7662
127 1.5358  -1302.4437 -3419565.8258 82.3357
128 1.5408  -1302.4434 -3419565.2659 82.8956
129 1.5458  -1302.4432 -3419564.7154 83.4462
130 1.5508  -1302.4430 -3419564.1736 83.9880
131 1.5558  -1302.4428 -3419563.6404 84.5211
132 1.5608  -1302.4426 -3419563.1152 85.0463
133 1.5658  -1302.4424 -3419562.5980 85.5635
134 1.5708  -1302.4422 -3419562.0881 86.0735
135 1.5758  -1302.4420 -3419561.5853 86.5763
136 1.5809  -1302.4419 -3419561.0890 87.0725
137 1.5859  -1302.4417 -3419560.5994 87.5621
138 1.5909  -1302.4415 -3419560.1157 88.0458
139 1.5959  -1302.4413 -3419559.6379 88.5236
140 1.6009  -1302.4411 -3419559.1655 88.9961
141 1.6059  -1302.4409 -3419558.6983 89.4632
142 1.6109  -1302.4408 -3419558.2355 89.9261
143 1.6159  -1302.4406 -3419557.7781 90.3834
144 1.6209  -1302.4404 -3419557.3249 90.8366
145 1.6259  -1302.4402 -3419556.8758 91.2858
146 1.6309  -1302.4401 -3419556.4309 91.7307
147 1.6359  -1302.4399 -3419555.9891 92.1724
148 1.6409  -1302.4397 -3419555.5515 92.6100
149 1.6459  -1302.4396 -3419555.1167 93.0448
150 1.6509  -1302.4394 -3419554.6856 93.4759
151 1.6559  -1302.4393 -3419554.2569 93.9047
152 1.6610  -1302.4391 -3419553.8315 94.3301
153 1.6660  -1302.4389 -3419553.4081 94.7534
154 1.6710  -1302.4388 -3419552.9877 95.1738
155 1.6760  -1302.4386 -3419552.5691 95.5925
156 1.6810  -1302.4385 -3419552.1530 96.0085
157 1.6860  -1302.4383 -3419551.7385 96.4231
158 1.6910  -1302.4381 -3419551.3263 96.8353
159 1.6960  -1302.4380 -3419550.9153 97.2462
160 1.7010  -1302.4378 -3419550.5064 97.6551
161 1.7060  -1302.4377 -3419550.0986 98.0630
162 1.7110  -1302.4375 -3419549.6926 98.4690
163 1.7160  -1302.4374 -3419549.2874 98.8741
164 1.7210  -1302.4372 -3419548.8837 99.2778
165 1.7260  -1302.4371 -3419548.4810 99.6805
166 1.7310  -1302.4369 -3419548.0790 100.0825
167 1.7360  -1302.4367 -3419547.6785 100.4830
168 1.7411  -1302.4366 -3419547.2784 100.8832
169 1.7461  -1302.4364 -3419546.8793 101.2823
170 1.7511  -1302.4363 -3419546.4806 101.6810
171 1.7561  -1302.4361 -3419546.0828 102.0787
172 1.7611  -1302.4360 -3419545.6854 102.4762
