0 0.9000  -1235.8004 -3244593.8390 84.2871
1 0.9050  -1235.8024 -3244599.2483 78.8778
2 0.9100  -1235.8044 -3244604.4255 73.7006
3 0.9150  -1235.8063 -3244609.3723 68.7538
4 0.9200  -1235.8081 -3244614.1006 64.0255
5 0.9250  -1235.8098 -3244618.6103 59.5158
6 0.9300  -1235.8114 -3244622.9140 55.2121
7 0.9350  -1235.8130 -3244627.0104 51.1156
8 0.9401  -1235.8145 -3244630.9123 47.2138
9 0.9451  -1235.8159 -3244634.6177 43.5084
10 0.9501  -1235.8172 -3244638.1393 39.9868
11 0.9551  -1235.8185 -3244641.4747 36.6514
12 0.9601  -1235.8197 -3244644.6364 33.4896
13 0.9651  -1235.8208 -3244647.6217 30.5044
14 0.9701  -1235.8219 -3244650.4428 27.6832
15 0.9751  -1235.8229 -3244653.0968 25.0292
16 0.9801  -1235.8239 -3244655.5957 22.5304
17 0.9851  -1235.8248 -3244657.9363 20.1897
18 0.9901  -1235.8256 -3244660.1302 17.9959
19 0.9951  -1235.8264 -3244662.1745 15.9516
20 1.0001  -1235.8271 -3244664.0799 14.0462
21 1.0051  -1235.8278 -3244665.8438 12.2822
22 1.0101  -1235.8284 -3244667.4763 10.6498
23 1.0151  -1235.8290 -3244668.9748 9.1513
24 1.0202  -1235.8295 -3244670.3494 7.7767
25 1.0252  -1235.8300 -3244671.5979 6.5282
26 1.0302  -1235.8304 -3244672.7285 5.3976
27 1.0352  -1235.8308 -3244673.7401 4.3859
28 1.0402  -1235.8311 -3244674.6404 3.4857
29 1.0452  -1235.8314 -3244675.4283 2.6978
30 1.0502  -1235.8317 -3244676.1110 2.0151
31 1.0552  -1235.8319 -3244676.6876 1.4385
32 1.0602  -1235.8321 -3244677.1649 0.9612
33 1.0652  -1235.8322 -3244677.5421 0.5840
34 1.0702  -1235.8323 -3244677.8254 0.3006
35 1.0752  -1235.8324 -3244678.0143 0.1117
36 1.0802  -1235.8325 -3244678.1148 0.0113
37 1.0852  -1235.8325 -3244678.1261 0.0000
38 1.0902  -1235.8324 -3244678.0539 0.0721
39 1.0952  -1235.8324 -3244677.8978 0.2283
40 1.1003  -1235.8323 -3244677.6629 0.4631
41 1.1053  -1235.8322 -3244677.3489 0.7772
42 1.1103  -1235.8320 -3244676.9608 1.1653
43 1.1153  -1235.8318 -3244676.4979 1.6281
44 1.1203  -1235.8316 -3244675.9653 2.1607
45 1.1253  -1235.8314 -3244675.3624 2.7637
46 1.1303  -1235.8312 -3244674.6937 3.4324
47 1.1353  -1235.8309 -3244673.9584 4.1676
48 1.1403  -1235.8306 -3244673.1617 4.9644
49 1.1453  -1235.8302 -3244672.3023 5.8237
50 1.1503  -1235.8299 -3244671.3852 6.7409
51 1.1553  -1235.8295 -3244670.4091 7.7169
52 1.1603  -1235.8291 -3244669.3788 8.7472
53 1.1653  -1235.8287 -3244668.2931 9.8329
54 1.1703  -1235.8283 -3244667.1566 10.9694
55 1.1753  -1235.8278 -3244665.9680 12.1581
56 1.1804  -1235.8274 -3244664.7318 13.3943
57 1.1854  -1235.8276 -3244665.3768 12.7492
58 1.1904  -1235.8272 -3244664.3365 13.7896
59 1.1954  -1235.8268 -3244663.1560 14.9700
60 1.2004  -1235.8263 -3244661.9468 16.1792
61 1.2054  -1235.8258 -3244660.7003 17.4257
62 1.2104  -1235.8253 -3244659.4343 18.6917
63 1.2154  -1235.8248 -3244658.1316 19.9945
64 1.2204  -1235.8243 -3244656.8147 21.3114
65 1.2254  -1235.8238 -3244655.4644 22.6616
66 1.2304  -1235.8233 -3244654.1023 24.0238
67 1.2354  -1235.8228 -3244652.7176 25.4085
68 1.2404  -1235.8222 -3244651.3144 26.8117
69 1.2454  -1235.8217 -3244649.9026 28.2235
70 1.2504  -1235.8212 -3244648.4694 29.6567
71 1.2554  -1235.8206 -3244647.0394 31.0866
72 1.2605  -1235.8201 -3244645.5804 32.5457
73 1.2655  -1235.8195 -3244644.1431 33.9829
74 1.2705  -1235.8190 -3244642.6738 35.4523
75 1.2755  -1235.8184 -3244641.2348 36.8913
76 1.2805  -1235.8179 -3244639.7874 38.3387
77 1.2855  -1235.8173 -3244638.2561 39.8700
78 1.2905  -1235.8167 -3244636.8410 41.2851
79 1.2955  -1235.8162 -3244635.4294 42.6966
80 1.3005  -1235.8157 -3244634.0209 44.1052
81 1.3055  -1235.8151 -3244632.6507 45.4753
82 1.3105  -1235.8148 -3244631.6405 46.4856
83 1.3155  -1235.8143 -3244630.3557 47.7704
84 1.3205  -1235.8138 -3244629.0916 49.0345
85 1.3255  -1235.8133 -3244627.8488 50.2772
86 1.3305  -1235.8128 -3244626.6290 51.4970
87 1.3355  -1235.8124 -3244625.4331 52.6929
88 1.3406  -1235.8119 -3244624.2643 53.8618
89 1.3456  -1235.8115 -3244623.1197 55.0064
90 1.3506  -1235.8111 -3244621.9975 56.1286
91 1.3556  -1235.8107 -3244620.9051 57.2210
92 1.3606  -1235.8103 -3244619.8400 58.2860
93 1.3656  -1235.8099 -3244618.8019 59.3242
94 1.3706  -1235.8095 -3244617.7913 60.3348
95 1.3756  -1235.8091 -3244616.8079 61.3181
96 1.3806  -1235.8087 -3244615.8518 62.2743
97 1.3856  -1235.8084 -3244614.9238 63.2022
98 1.3906  -1235.8080 -3244614.0217 64.1044
99 1.3956  -1235.8077 -3244613.1480 64.9781
100 1.4006  -1235.8074 -3244612.2993 65.8267
101 1.4056  -1235.8071 -3244611.4771 66.6489
102 1.4106  -1235.8068 -3244610.6805 67.4456
103 1.4156  -1235.8065 -3244609.9089 68.2171
104 1.4207  -1235.8062 -3244609.1620 68.9641
105 1.4257  -1235.8059 -3244608.4379 69.6881
106 1.4307  -1235.8057 -3244607.7368 70.3893
107 1.4357  -1235.8054 -3244607.0578 71.0683
108 1.4407  -1235.8051 -3244606.4003 71.7258
109 1.4457  -1235.8049 -3244605.7636 72.3625
110 1.4507  -1235.8047 -3244605.1470 72.9791
111 1.4557  -1235.8044 -3244604.5496 73.5765
112 1.4607  -1235.8042 -3244603.9708 74.1553
113 1.4657  -1235.8040 -3244603.4099 74.7162
114 1.4707  -1235.8038 -3244602.8661 75.2600
115 1.4757  -1235.8036 -3244602.3386 75.7874
116 1.4807  -1235.8034 -3244601.8269 76.2991
117 1.4857  -1235.8032 -3244601.3302 76.7958
118 1.4907  -1235.8030 -3244600.8478 77.2783
119 1.4957  -1235.8028 -3244600.3790 77.7470
120 1.5008  -1235.8027 -3244599.9233 78.2028
121 1.5058  -1235.8025 -3244599.4798 78.6462
122 1.5108  -1235.8023 -3244599.0482 79.0779
123 1.5158  -1235.8022 -3244598.6277 79.4984
124 1.5208  -1235.8020 -3244598.2177 79.9083
125 1.5258  -1235.8019 -3244597.8179 80.3082
126 1.5308  -1235.8017 -3244597.4274 80.6986
